mal_id,title,type,score,members,genres,tags
44,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,OVA,8.7,293036,Action|Drama|Romance,Adult Cast|Historical|Samurai|Martial Arts|swordplay|sex|violence|revenge|conspiracy|tragedy|rotten world|shinsengumi
45,Rurouni Kenshin: Meiji Kenkaku Romantan,TV,8.28,525548,Action|Comedy|Romance|Adventure,Historical|Samurai|Martial Arts|swordplay|Super Power|violence|plot continuity|politics|revenge|conspiracy|tragedy|shinsengumi|murder
46,Rurouni Kenshin: Meiji Kenkaku Romantan - Ishinshishi e no Chinkonka,Movie,7.56,55543,Drama|Action,Historical|Samurai|swordplay
47,Akira,Movie,8.16,955985,Action|Horror|Sci-Fi|Romance,Gore|Military|Super Power|high school|gunfights|human enhancement|motorsport|street racing|angst|cyberpunk|genetic modification|post-apocalyptic|rivalry
48,.hack//Sign,TV,6.96,195092,Adventure|Fantasy|Mystery|Girls Love|Action|Romance,Video Game|reverse trap|magic|swordplay|Super Power|Parody|nudity|violence|unrequited love|Love Polygon|plot continuity|angst|friendship|law and order|dark-skinned girl
49,Aa! Megami-sama!,OVA,7.32,58840,Comedy|Romance|Supernatural|Gourmet|Fantasy|Slice of Life,delinquent|magic|deity|Super Power|contemporary fantasy|university|school clubs|nudity|violence|motorsport|sudden girlfriend appearance|plot continuity|stereotypes|angst|henshin|ecchi|School|coming of age|foot fetish
50,Aa! Megami-sama! (TV),TV,7.33,169893,Comedy|Romance|Supernatural|Action|Fantasy|Slice of Life|Sports,lingerie|small breasts|magic|angel|deity|Super Power|demon|contemporary fantasy|super deformed|Gag Humor|university|school clubs|nudity|violence|motorsport|sudden girlfriend appearance|plot continuity|stereotypes|angst|ecchi|Harem|School|coming of age|large breasts
51,Tenshi Kinryouku,OVA,6.24,52685,Action|Drama|Romance|Supernatural|Fantasy|Horror,delinquent|angel|Super Power|Time Travel|demon|contemporary fantasy|angst|Christianity
52,Kidou Tenshi Angelic Layer,TV,7.29,63016,Award Winning|Comedy|Drama|Sci-Fi|Action|Sports,Strategy Game|super deformed|plot continuity|proxy battles|School|coming of age
53,Ai Yori Aoshi,TV,7.11,117377,Comedy|Drama|Romance|Slice of Life,Harem|maid|office lady|Gag Humor|university|school clubs|nudity|sudden girlfriend appearance|Love Polygon|stereotypes|pantsu|ecchi|School|alcohol|housewives|dark-skinned girl
54,Appleseed (Movie),Movie,7.05,78398,Sci-Fi|Action,Mecha|Military|air force|cyborg|gunfights|human enhancement|power suit|piloted robot|post-apocalyptic|utopia
55,Arc the Lad,TV,6.65,18465,Action|Adventure|Fantasy|Horror|Sci-Fi|Romance,bounty hunter|magic|multiple couples|angst|revenge|tragedy
56,Avenger,TV,5.96,19375,Adventure|Fantasy|Sci-Fi|Action|Romance,robot helper|android|cyborg|robot|Martial Arts|swordplay|human enhancement|Mecha|space travel|violence|angst|ecchi|cyberpunk|friendship|politics|disaster|revenge|tragedy|coming of age|genetic modification|post-apocalyptic|earthquake|rotten world|murder
57,Beck,TV,8.29,376758,Drama|Romance,Music|musical band|delinquent|idol|school clubs|nudity|violence|Love Polygon|School|coming of age|rivalry
58,Blue Gender,TV,7.06,89744,Adventure|Drama|Horror|Sci-Fi|Girls Love|Action|Romance,Gore|Mecha|Military|Space|Survival|gunfights|human enhancement|piloted robot|plot continuity|angst|post-apocalyptic|rotten world
59,Chobits,TV,7.4,515268,Comedy|Drama|Romance|Sci-Fi|Ecchi,lingerie|android|maid|Gag Humor|university|nudity|multiple couples|sudden girlfriend appearance|teacher x student|plot continuity|pantsu|angst|ecchi|School|conspiracy|tragedy|human-android love
60,Chrno Crusade,TV,7.61,238291,Action|Romance|Supernatural|Fantasy|Comedy,Historical|Mythology|gunfights|demon|contemporary fantasy|Gag Humor|plot continuity|pantsu|angst|ecchi|religion|tragedy|Christianity
61,D.N.Angel,TV,7.17,192225,Action|Comedy|Fantasy|Romance|Gourmet|Boys Love|Suspense|Slice of Life,School|Detective|middle school|bishounen|delinquent|magic|angel|ghost|Super Power|Time Travel|Gag Humor|Parody|violence|sudden girlfriend appearance|Love Polygon|plot continuity|stereotypes|performance|pantsu|angst|henshin|ecchi|crime|law and order|tragedy|coming of age|police|parental abandonment|thievery
62,D.C.: Da Capo,TV,6.75,79636,Drama|Romance|Fantasy|Comedy|Slice of Life,Harem|middle school|android|bishounen|small breasts|high school|magic|loli|contemporary fantasy|super deformed|Gag Humor|nudity|violence|Love Polygon|plot continuity|stereotypes|performance|pantsu|incest|angst|ecchi|School|tragedy|coming of age|parental abandonment|large breasts
63,DearS,TV,6.56,157356,Comedy|Romance|Sci-Fi|Ecchi,wrestling|high school|cosplaying|alien|super deformed|Gag Humor|humanoid alien|sudden girlfriend appearance|stereotypes|slavery|School|parental abandonment
64,Rozen Maiden,TV,7.42,220135,Action|Drama|Supernatural|Fantasy|Comedy|Romance|Slice of Life,Detective|magic|contemporary fantasy|super deformed|Gag Humor|sudden girlfriend appearance|plot continuity|angst|Anthropomorphic|School|coming of age|parental abandonment
65,Rozen Maiden: Träumend,TV,7.63,111667,Action|Drama|Supernatural|Fantasy|Comedy,magic|Super Power|contemporary fantasy|super deformed|stereotypes|Anthropomorphic|tragedy
66,Azumanga Daiou The Animation,TV,8.08,427390,Comedy|Romance|Slice of Life|Sports,CGDCT|Gag Humor|School|high school|absurdist humour|super deformed|unrequited love|plot continuity|stereotypes|friendship|coming of age|parental abandonment
67,Basilisk: Kouga Ninpou Chou,TV,7.54,203942,Action|Drama|Romance|Fantasy|Adventure|Horror,Adult Cast|Gore|Historical|Martial Arts|Samurai|ninja|swordplay|Super Power|nudity|violence|multiple couples|plot continuity|sexual fantasies|ecchi|disaster|conspiracy|tragedy|rivalry|large breasts
68,Black Cat,TV,7.32,283448,Action|Adventure|Sci-Fi|Comedy,Super Power|bounty hunter|Martial Arts|gunfights|swordplay|human enhancement|Gag Humor|violence|plot continuity|crime|conspiracy|nanomachines|murder
69,Cluster Edge,TV,6.44,11953,Action|Fantasy|Sci-Fi|Comedy,air force|high school|angel|gunfights|swordplay|Super Power|all-boys school|friendship|School|steampunk|religion|genetic modification|war|air combat
71,Full Metal Panic!,TV,7.59,531848,Comedy|Action|Sci-Fi|Romance,Mecha|Military|navy|high school|gunfights|piloted robot|absurdist humour|Gag Humor|violence|Love Polygon|plot continuity|pantsu|ecchi|School|parental abandonment|table tennis|real robot|terrorism
72,Full Metal Panic? Fumoffu,TV,8.02,312098,Action|Comedy|Sci-Fi,Gag Humor|School|Military|navy|high school|delinquent|Martial Arts|gunfights|Mecha|power suit|absurdist humour|Parody|violence|rugby|stereotypes|ecchi|parental abandonment|student government
73,Full Metal Panic! The Second Raid,TV,7.92,273905,Girls Love|Action|Sci-Fi|Comedy|Ecchi|Romance,Mecha|Military|navy|high school|gunfights|swordplay|piloted robot|absurdist humour|Gag Humor|nudity|violence|Love Polygon|plot continuity|stereotypes|pantsu|School|tragedy|parental abandonment|terrorism
74,Gakuen Alice,TV,7.67,107240,Comedy|Girls Love|Action|Sci-Fi|Romance,School|Super Power|robot helper|middle school|elementary school|android|Mahou Shoujo|Mecha|piloted robot|contemporary fantasy|super deformed|Gag Humor|medium awareness|school dormitory|violence|dodgeball|plot continuity|stereotypes|friendship|tragedy
75,Soukyuu no Fafner: Dead Aggressor,TV,7.33,53368,Drama|Sci-Fi|Action|Horror|Comedy|Romance,Mecha|Military|alien|human enhancement|piloted robot|nudity|violence|plot continuity|stereotypes|angst|ecchi|School|tragedy|coming of age|genetic modification|post-apocalyptic|war
76,Mahou Shoujo Lyrical Nanoha,TV,7.44,111461,Action|Comedy|Drama|Girls Love|Sci-Fi|Fantasy|Romance,Mahou Shoujo|juujin|elementary school|small breasts|magic|contemporary fantasy|Gag Humor|nudity|violence|plot continuity|stereotypes|pantsu|henshin|ecchi|friendship|School|tragedy|rivalry
77,Mahou Shoujo Lyrical Nanoha A's,TV,7.98,69974,Action|Comedy|Drama|Girls Love|Sci-Fi|Fantasy|Adventure|Romance|Slice of Life,Mahou Shoujo|juujin|Military|middle school|elementary school|small breasts|magic|swordplay|Super Power|space travel|transforming craft|contemporary fantasy|Gag Humor|nudity|violence|humanoid alien|plot continuity|stereotypes|pantsu|angst|henshin|ecchi|School|tragedy|coming of age|large breasts
79,Shuffle!,TV,7.01,293570,Comedy|Fantasy|Romance|Ecchi|Gourmet|Action|Sci-Fi,Harem|School|Urban Fantasy|high school|magic|deity|human enhancement|demon|contemporary fantasy|sudden girlfriend appearance|Love Polygon|plot continuity|stereotypes|angst|conspiracy|tragedy|coming of age|genetic modification|parental abandonment
80,Kidou Senshi Gundam,TV,7.79,152272,Drama|Sci-Fi|Action|Romance,Mecha|Military|Space|swordplay|space travel|transforming craft|piloted robot|plot continuity|angst|tragedy|coming of age|war|space battles|real robot|hard science fiction
81,Kidou Senshi Gundam: Dai 08 MS Shoutai,OVA,8.01,94689,Drama|Romance|Sci-Fi|Action|Comedy,Mecha|Military|piloted robot|Gag Humor|nudity|violence|ecchi|anti-war|war|rotten world|real robot|hard science fiction|guerilla warfare
82,Kidou Senshi Gundam 0080: Pocket no Naka no Sensou,OVA,8.04,70888,Drama|Sci-Fi|Action|Slice of Life,Mecha|Military|Space|elementary school|gunfights|piloted robot|violence|plot continuity|friendship|anti-war|tragedy|coming of age|special squads|war|rotten world|space battles|real robot
83,Kidou Senshi Gundam: Dai 08 MS Shoutai - Miller's Report,Movie,6.73,15043,Drama|Romance|Sci-Fi|Action,Mecha|Military|war|real robot
84,Kidou Senshi Gundam 0083: Stardust Memory,OVA,7.25,52389,Drama|Romance|Sci-Fi|Action,Mecha|Military|Space|swordplay|space travel|piloted robot|netorare|Love Polygon|plot continuity|angst|politics|tragedy|war|rotten world|space battles|real robot
85,Kidou Senshi Zeta Gundam,TV,7.93,88413,Drama|Romance|Sci-Fi|Action,Mecha|Military|Space|swordplay|human enhancement|space travel|transforming craft|piloted robot|nudity|violence|plot continuity|angst|politics|tragedy|war|rotten world|space battles|real robot|space opera
86,Kidou Senshi Gundam ZZ,TV,6.77,51793,Comedy|Drama|Sci-Fi|Action,Mecha|Military|Space|robot|gunfights|swordplay|human enhancement|space travel|transforming craft|piloted robot|nudity|disaster|coming of age|war|rotten world|space battles|real robot
87,Kidou Senshi Gundam: Gyakushuu no Char,Movie,7.73,59638,Drama|Sci-Fi|Action,Mecha|Military|Space|human enhancement|space travel|piloted robot|violence|angst|politics|tragedy|rotten world|real robot|rivalry|space opera
88,Kidou Senshi Gundam F91,Movie,6.61,38127,Drama|Sci-Fi|Action|Romance,Mecha|Military|Space|human enhancement|space travel|piloted robot|violence|tragedy|genetic modification|war|space battles|real robot
89,Kidou Senshi Victory Gundam,TV,6.83,32604,Drama|Sci-Fi|Action,Mecha|Military|Space|robot helper|shota|robot|transforming craft|piloted robot|nudity|plot continuity|anti-war|disaster|coming of age|parental abandonment|war|rotten world|space battles|real robot
90,Shin Kidou Senki Gundam Wing,TV,7.67,171986,Drama|Sci-Fi|Action|Romance,Mecha|Military|Space|gunfights|swordplay|space travel|transforming craft|piloted robot|violence|basketball|plot continuity|politics|School|revenge|coming of age|war|rotten world
91,Shin Kidou Senki Gundam Wing: Endless Waltz,OVA,7.77,52102,Award Winning|Drama|Sci-Fi|Action,Mecha|Military|Space|space travel|piloted robot|violence|war|space opera
92,Kidou Shinseiki Gundam X,TV,7.44,40883,Adventure|Drama|Sci-Fi|Action|Romance,Mecha|Space|Military|human enhancement|piloted robot|post-apocalyptic|real robot
93,Kidou Senshi Gundam SEED,TV,7.74,185771,Award Winning|Drama|Romance|Sci-Fi|Action,Mecha|Military|Space|navy|robot|gunfights|human enhancement|space travel|piloted robot|sex|violence|Love Polygon|plot continuity|angst|racism|anti-war|disaster|tragedy|genetic modification|war|space battles|real robot
94,Kidou Senshi Gundam SEED Destiny,TV,7.17,117302,Drama|Romance|Sci-Fi|Action,Mecha|Military|Space|human enhancement|space travel|piloted robot|plot continuity|angst|anti-war|genetic modification|war
95,Turn A Gundam,TV,7.88,56156,Adventure|Award Winning|Drama|Romance|Sci-Fi|Action|Slice of Life,Mecha|Military|Space|Crossdressing|space travel|piloted robot|unrequited love|Love Polygon|plot continuity|politics|steampunk|nanomachines
96,Kidou Butouden G Gundam,TV,7.63,76002,Drama|Romance|Sci-Fi|Action,Mecha|Space|robot|Martial Arts|swordplay|Super Power|space travel|piloted robot|Parody|end of the world
97,Last Exile,TV,7.79,188674,Action|Adventure|Sci-Fi|Girls Love|Fantasy|Romance,Military|air force|gunfights|plot continuity|steampunk|anti-war|revenge|tragedy|parental abandonment|war|air combat|end of the world
98,Mai-HiME,TV,7.42,122469,Action|Girls Love|Gourmet|Sci-Fi|Fantasy|Comedy|Romance|Sports,Mahou Shoujo|School|Military|painting|lingerie|navy|middle school|android|nun|reverse trap|kendo|tentacle|air force|small breasts|high school|maid|Martial Arts|Crossdressing|ninja|gunfights|battle royale|swordplay|Super Power|Mecha|super deformed|Gag Humor|medium awareness|Parody|satire|catholic school|school clubs|school dormitory|nudity|violence|combat|humanoid alien|multiple couples|Love Polygon|plot continuity|stereotypes|performance|pantsu|angst|blackmail|henshin|ecchi|friendship|proxy battles|politics|crime|disaster|religion|revenge|conspiracy|alcohol|the arts|tragedy|war|space battles|Christianity|murder|deconstruction|tone changes|black humour|thievery|student government|vandalism|large breasts
99,Mai-Otome,TV,7.32,54627,Comedy|Drama|Fantasy|Girls Love|Action|Sci-Fi|Romance,android|all-girls school|tentacle|maid|magic|cyborg|Super Power|human enhancement|Mecha|Gag Humor|Parody|nudity|Love Polygon|plot continuity|stereotypes|henshin|ecchi|School|conspiracy|tragedy|coming of age|female student|nanomachines|post-apocalyptic|rivalry
100,Shin Shirayuki-hime Densetsu Prétear,TV,7.19,69365,Drama|Romance|Action|Fantasy|Comedy,Mahou Shoujo|Reverse Harem|bishounen|tentacle|high school|cosplaying|magic|Super Power|super deformed|Gag Humor|nudity|violence|Love Polygon|pantsu|henshin|School|tragedy|parental abandonment
101,Air,TV,7.28,313455,Drama|Romance|Supernatural|Action|Fantasy,Samurai|angel|swordplay|contemporary fantasy|sex|nudity|violence|multiple couples|tragedy|parental abandonment|sexual humour
102,Aishiteruze Baby★★,TV,7.45,107913,Comedy|Drama|Romance|Gourmet|Slice of Life,Childcare|elementary school|high school|Gag Humor|violence|unrequited love|plot continuity|stereotypes|performance|angst|ecchi|School|the arts|tragedy|coming of age|parental abandonment|tone changes|parenting|preschool
103,Akazukin Chacha,TV,7.57,18226,Adventure|Comedy|Romance|Sci-Fi|Fantasy,Mahou Shoujo|mermaid|Vampire|magic|robot|Mecha|piloted robot|absurdist humour|Gag Humor|Parody|unrequited love|Love Polygon|plot continuity|friendship|rivalry
104,Ayashi no Ceres,TV,7.19,66792,Adventure|Drama|Horror|Romance|Supernatural|Gourmet|Action|Sci-Fi|Fantasy|Comedy,Psychological|bishounen|Martial Arts|angel|gunfights|Super Power|human enhancement|contemporary fantasy|super deformed|Gag Humor|nudity|violence|Love Polygon|stereotypes|Reverse Harem|angst|henshin|ecchi|cyberpunk|conspiracy|tragedy|coming of age
105,Boys Be...,TV,6.47,25874,Comedy|Romance|Slice of Life|Sports,School|baseball|photography|high school|track and field|Love Polygon|plot continuity|performance|angst|coming of age
106,Hana yori Dango,TV,7.61,67671,Drama|Romance|Comedy|Sports,Love Polygon|School|high school|violence|basketball|unrequited love|plot continuity|Reverse Harem|angst|skiing
107,Ou Dorobou Jing,TV,7.23,40491,Adventure|Comedy|Fantasy|Sci-Fi|Gourmet|Action|Horror|Romance,dragon|gunfights|swordplay|Super Power|demon|contemporary fantasy|absurdist humour|nudity|violence|plot continuity|henshin|ecchi|crime|dystopia|tragedy|coming of age|thievery|large breasts
108,Ou Dorobou Jing in Seventh Heaven,OVA,7.24,13767,Adventure|Comedy|Fantasy|Action,Psychological|Gag Humor|nudity|violence|plot continuity|thievery
109,Bakuretsu Tenshi,TV,6.81,76722,Adventure|Sci-Fi|Girls Love|Action|Horror,Mecha|Detective|tentacle|delinquent|cyborg|gunfights|Super Power|piloted robot|Parody|nudity|violence|pantsu|mafia|ecchi|cyberpunk|crime|conspiracy|large breasts
110,Chuuka Ichiban!,TV,7.59,21878,Action|Comedy|Drama|Gourmet,plot continuity|crime|psychoactive drugs|coming of age
111,Corrector Yui,TV,7.04,19569,Adventure|Comedy|Sci-Fi,magic|Mahou Shoujo|henshin
112,Chou Henshin Cosprayers,TV,5.01,9981,Action|Adventure|Comedy|Fantasy|Sci-Fi|Ecchi|Girls Love,Super Power|Mahou Shoujo|Mecha|pantsu|ecchi
113,Uchuu no Stellvia,TV,7.42,27400,Romance|Sci-Fi|Girls Love|Action,Mecha|Space|alien|piloted robot|violence|multiple couples|stereotypes|angst|friendship|anti-war|disaster|dark-skinned girl|post-apocalyptic|hard science fiction|boarding school|rivalry|utopia
114,Sakigake!! Cromartie Koukou,TV,7.9,155170,Comedy|Action,Delinquents|Gag Humor|Parody|School|high school|delinquent|robot|absurdist humour|medium awareness|all-boys school
115,Ijigen no Sekai El-Hazard,TV,6.88,13538,Adventure|Comedy|Fantasy|Action|Romance,nudity|ecchi
116,Shinpi no Sekai El-Hazard (TV),TV,7.02,20446,Adventure|Comedy|Fantasy|Romance|Action,Love Polygon
117,Shinpi no Sekai El-Hazard,OVA,7.33,22978,Adventure|Comedy|Fantasy|Romance|Girls Love|Action,Crossdressing|Martial Arts|Super Power|sex|nudity|Love Polygon|plot continuity|stereotypes|henshin|ecchi|School|alcohol|war|rivalry
118,Shinpi no Sekai El-Hazard Season 2,OVA,6.89,10758,Adventure|Comedy|Fantasy|Girls Love|Action|Romance,alien|Super Power|Gag Humor|nudity|violence|Love Polygon|plot continuity
119,Final Approach,TV,6.55,37659,Comedy|Drama|Romance|Slice of Life,super deformed|sudden girlfriend appearance|stereotypes|ecchi|Harem|parental abandonment
120,Fruits Basket,TV,7.7,568082,Drama|Romance|Supernatural|Fantasy|Suspense|Comedy,Love Polygon|School|bishounen|high school|magic|contemporary fantasy|Gag Humor|medium awareness|Reverse Harem|angst|henshin|tragedy|parental abandonment|curse
121,Fullmetal Alchemist,TV,8.12,1558778,Action|Adventure|Award Winning|Drama|Fantasy|Sci-Fi|Horror|Comedy|Romance,Military|trap|reverse trap|bishounen|magic|Crossdressing|loli|gunfights|swordplay|Super Power|human enhancement|dark fantasy|Gag Humor|medium awareness|Parody|nudity|violence|Love Polygon|plot continuity|angst|Anthropomorphic|friendship|politics|racism|steampunk|crime|disaster|religion|revenge|conspiracy|law and order|tragedy|coming of age|dark-skinned girl|police|parental abandonment|war|post-war|rotten world|gambling|training|murder|tone changes|epidemic|dieselpunk|guerilla warfare|thievery|terrorism|vandalism|torture
122,Full Moon wo Sagashite,TV,7.96,118485,Comedy|Drama|Romance|Supernatural|Fantasy,Music|Showbiz|middle school|elementary school|magic|idol|Mahou Shoujo|contemporary fantasy|Gag Humor|violence|Love Polygon|plot continuity|angst|School|tragedy|coming of age|rivalry
123,Fushigi Yuugi,TV,7.61,129243,Action|Adventure|Fantasy|Romance|Boys Love|Comedy,Historical|Martial Arts|Reverse Harem|trap|bishounen|magic|Super Power|Gag Humor|sex|Love Polygon|plot continuity|angst|friendship|tragedy|tone changes
124,Fushigi Yuugi: Eikouden,OVA,6.79,19345,Adventure|Drama|Fantasy|Romance,Isekai|magic|Martial Arts
125,Futakoi,TV,6.52,37899,Comedy|Romance,School|middle school|stereotypes|Harem|parental abandonment
126,Futakoi Alternative,TV,6.95,33867,Comedy|Drama|Romance|Action|Sci-Fi,Military|gunfights|absurdist humour|super deformed|Gag Humor|nudity|humanoid alien|Love Polygon|plot continuity|pantsu|mafia|angst|ecchi|Harem|tragedy|large breasts
127,Gate Keepers,TV,7.0,24560,Comedy|Fantasy|Sci-Fi|Action|Romance,Mecha|alien|Crossdressing|Super Power|humanoid alien|Love Polygon|School
128,Gate Keepers 21,OVA,6.79,11657,Drama|Sci-Fi|Action|Fantasy,Mecha|magic|Super Power|contemporary fantasy|School
129,Gensoumaden Saiyuuki,TV,7.53,59259,Action|Adventure|Drama|Fantasy,magic|Martial Arts|demon|contemporary fantasy|large breasts
130,Saiyuuki Reload,TV,7.35,38406,Action|Adventure|Comedy|Drama|Supernatural|Fantasy,Mythology|magic|Martial Arts|demon|contemporary fantasy
131,Saiyuuki Reload Gunlock,TV,7.36,25464,Action|Adventure|Comedy|Drama|Supernatural|Fantasy,Mythology|magic|Martial Arts|demon|contemporary fantasy
132,GetBackers,TV,7.58,129109,Action|Mystery|Supernatural|Boys Love|Adventure|Comedy,Super Power|bishounen|Martial Arts|contemporary fantasy|super deformed|Gag Humor|plot continuity|friendship
133,Green Green,TV,6.14,122589,Comedy|Romance|Ecchi|Sci-Fi,School|middle school|Time Travel|Gag Humor|sudden girlfriend appearance|Love Polygon|plot continuity|stereotypes|angst|tragedy|coming of age
134,Gunslinger Girl,TV,7.4,204171,Action|Drama|Sci-Fi|Suspense,Military|cyborg|gunfights|human enhancement|violence|plot continuity|angst|crime|tragedy|special squads|neo-noir|murder|terrorism
135,Hikaru no Go,TV,8.08,150223,Comedy|Drama|Supernatural|Fantasy|Sports,School|Strategy Game|ghost|contemporary fantasy|school clubs|plot continuity|coming of age|go|training|rivalry|afterlife
136,Hunter x Hunter,TV,8.44,649120,Action|Adventure|Fantasy|Comedy,Martial Arts|Super Power|violence|plot continuity|mafia|friendship|crime|revenge|training
137,Hunter x Hunter: Original Video Animation,OVA,8.33,137595,Action|Adventure|Fantasy|Comedy,Super Power|mafia|friendship|crime|training
138,Hunter x Hunter: Greed Island,OVA,8.19,182879,Action|Adventure|Fantasy|Comedy,Super Power|friendship|training|Strategy Game
