field,mal_id,title,popularity,selected_value,unique_raw_values,unique_normalized_values,mal_value,anilist_value,anidb_value,derived_value
demographics,44516,Koroshi Ai,1422,Josei,Josei|Shoujo,josei|shoujo,Josei,Shoujo,Josei,
demographics,1118,Pokemon Movie 03: Kesshoutou no Teiou Entei,1465,Kodomo,Kodomo|Shounen,kodomo|shounen,Kodomo,Kodomo,Shounen,
demographics,33071,Bungou Stray Dogs: Hitori Ayumu,1492,Seinen,Seinen|Shounen|Seinen,seinen|seinen|shounen,Seinen,Seinen,Shounen|Seinen,
demographics,721,Princess Tutu,1503,Shounen,Shoujo|Shounen,shoujo|shounen,,Shounen,Shoujo,
demographics,2963,Minami-ke,1514,Seinen,Seinen|Shounen,seinen|shounen,Seinen,Shounen,Seinen,
demographics,32603,Okusama ga Seitokaichou!+!,1518,Shounen,Seinen|Shounen,seinen|shounen,Shounen,Seinen,Shounen,
demographics,5678,Kobato.,1567,Shoujo,Seinen|Shoujo,seinen|shoujo,,Shoujo,Seinen,
demographics,6895,Hakuouki,1569,Josei,Josei|Shoujo,josei|shoujo,Josei,,Shoujo,
demographics,20509,Fate/kaleid liner Prisma☆Illya 2wei!,1580,Shounen,Seinen|Shounen,seinen|shounen,,Shounen,Seinen,
demographics,18001,Freezing Vibration,1582,Seinen,Seinen|Shounen,seinen|shounen,Seinen,Shounen,Seinen,
demographics,21353,Tokyo ESP,1586,Shounen,Seinen|Shounen,seinen|shounen,Shounen,Seinen,Shounen,
demographics,153,Juuni Kokuki,1590,Shoujo,Seinen|Josei|Shoujo,josei|seinen|shoujo,,Shoujo,Seinen|Josei,
demographics,43470,Rikei ga Koi ni Ochita no de Shoumei shitemita. Heart,1607,Shounen,Shounen|Shounen|Seinen,seinen|shounen|shounen,,Shounen,Shounen|Seinen,
demographics,1132,Digimon Frontier,1644,Kodomo,Kodomo|Shounen,kodomo|shounen,,Kodomo,Shounen,
demographics,1119,Pokemon Movie 04: Celebi Toki wo Koeta Deai,1654,Kodomo,Kodomo|Shounen,kodomo|shounen,Kodomo,Kodomo,Shounen,
demographics,37379,Chihayafuru 3,1712,Josei,Josei|Shoujo|Josei,josei|josei|shoujo,Josei,Josei,Shoujo|Josei,
demographics,63,DearS,1717,Shounen,Seinen|Shounen,seinen|shounen,Shounen,Shounen,Seinen,
demographics,27525,Fate/kaleid liner Prisma☆Illya 2wei Herz!,1747,Shounen,Seinen|Shounen,seinen|shounen,,Shounen,Seinen,
demographics,21563,Kamigami no Asobi,1749,Josei,Josei|Shoujo,josei|shoujo,Josei,Josei,Shoujo,
demographics,4472,Lucky☆Star: Original na Visual to Animation,1760,Shounen,Seinen|Shounen,seinen|shounen,,Shounen,Seinen,
demographics,25,Sunabouzu,1764,Seinen,Seinen|Shounen,seinen|shounen,Seinen,Shounen,Seinen,
demographics,38735,7 Seeds,1800,Josei,Josei|Shoujo,josei|shoujo,Shoujo,Josei,Josei,
demographics,10073,Seikon no Qwaser II,1826,Seinen,Seinen|Shounen,seinen|shounen,Seinen,Shounen,,
demographics,37926,Nakanohito Genome [Jikkyouchuu],1833,Shoujo,Shoujo|Shounen,shoujo|shounen,,Shoujo,Shounen,
demographics,9331,Yumekui Merry,1854,Shounen,Seinen|Shounen,seinen|shounen,,Shounen,Seinen,
demographics,31706,Fate/kaleid liner Prisma☆Illya 3rei!!,1889,Shounen,Seinen|Shounen,seinen|shounen,,Shounen,Seinen,
demographics,7662,Shinrei Tantei Yakumo,1893,Shoujo,Shoujo|Shoujo|Seinen,seinen|shoujo|shoujo,,Shoujo,Shoujo|Seinen,
demographics,56228,Rekishi ni Nokoru Akujo ni Naru zo,1897,Shoujo,Josei|Shoujo,josei|shoujo,Shoujo,Josei,,
demographics,21743,Donten ni Warau,1903,Shoujo,Shoujo|Shounen|Josei,josei|shounen|shoujo,Shoujo,Shoujo,Shounen|Josei,
demographics,38619,Joshikousei no Mudazukai,1922,Shounen,Seinen|Shounen,seinen|shounen,,Shounen,Seinen,
demographics,2216,Shigurui,1943,Seinen,Seinen|Shounen,seinen|shounen,Seinen,Seinen,Shounen,
demographics,22835,Himegoto,1954,Shounen,Seinen|Shounen|Shounen|Seinen,seinen|seinen|shounen|shounen,Shounen,Seinen,Shounen|Seinen,
demographics,34034,Pokemon Sun & Moon,1960,Kodomo,Kodomo|Shounen|Kodomo,kodomo|kodomo|shounen,Kodomo,Kodomo,Shounen|Kodomo,
demographics,488,Ichigo Mashimaro,1983,Shounen,Shounen|Shounen|Seinen,seinen|shounen|shounen,,Shounen,Shounen|Seinen,
demographics,1120,Pokemon Movie 05: Mizu no Miyako no Mamorigami Latias to Latios,2003,Kodomo,Kodomo|Shounen,kodomo|shounen,Kodomo,Kodomo,Shounen,
demographics,25649,Junjou Romantica 3,2017,Shoujo,Josei|Shoujo,josei|shoujo,,Shoujo,Josei,
demographics,36317,Gaikotsu Shotenin Honda-san,2025,Shoujo,Shoujo|Shounen,shoujo|shounen,,Shoujo,Shounen,
demographics,1526,Pokemon Movie 08: Mew to Hadou no Yuusha Lucario,2033,Kodomo,Kodomo|Shounen,kodomo|shounen,Kodomo,Kodomo,Shounen,
demographics,2847,Pokemon Movie 10: Dialga vs. Palkia vs. Darkrai,2050,Kodomo,Kodomo|Shounen,kodomo|shounen,Kodomo,Kodomo,Shounen,
demographics,1122,Pokemon Movie 07: Rekkuu no Houmonsha Deoxys,2072,Kodomo,Kodomo|Shounen,kodomo|shounen,Kodomo,Kodomo,Shounen,
demographics,288,Bakuten Shoot Beyblade,2086,Kodomo,Kodomo|Shounen,kodomo|shounen,Kodomo,Kodomo,Shounen,
demographics,24211,Orenchi no Furo Jijou,2107,Shoujo,Josei|Shoujo,josei|shoujo,Josei,Shoujo,Shoujo,
demographics,379,Heppoko Jikken Animation Excel♥Saga,2116,Seinen,Seinen|Shounen,seinen|shounen,Seinen,Shounen,Seinen,
demographics,2961,Digimon Adventure Movie,2120,Kodomo,Kodomo|Shounen,kodomo|shounen,Kodomo,Kodomo,Shounen,
demographics,12461,Hiiro no Kakera,2146,Josei,Josei|Shoujo,josei|shoujo,Josei,Josei,Shoujo,
demographics,12711,Uta no☆Prince-sama♪ Maji Love 2000%,2157,Josei,Josei|Shoujo,josei|shoujo,Josei,,Shoujo,
demographics,9107,Pokemon Best Wishes!,2184,Kodomo,Kodomo|Shounen,kodomo|shounen,Kodomo,Kodomo,Shounen,
demographics,50652,Tsundere Akuyaku Reijou Liselotte to Jikkyou no Endou-kun to Kaisetsu no Kobayashi-san,2210,Josei,Josei|Shoujo,josei|shoujo,,Josei,Shoujo,
demographics,55150,Yarinaoshi Reijou wa Ryuutei Heika wo Kouryakuchuu,2258,Shoujo,Josei|Shoujo,josei|shoujo,Shoujo,Shoujo,Josei,
demographics,11077,Hellsing: The Dawn,2268,Seinen,Seinen|Shounen,seinen|shounen,Seinen,Shounen,Seinen,
demographics,1121,Pokemon Movie 06: Nanayo no Negaiboshi Jirachi,2308,Kodomo,Kodomo|Shounen,kodomo|shounen,Kodomo,Kodomo,Shounen,
demographics,34100,Fate/kaleid liner Prisma☆Illya Movie: Sekka no Chikai,2318,Shounen,Seinen|Shounen,seinen|shounen,,Shounen,Seinen,
demographics,5962,Metal Fight Beyblade,2321,Kodomo,Kodomo|Shounen|Kodomo,kodomo|kodomo|shounen,Kodomo,Kodomo,Shounen|Kodomo,
demographics,1965,Sola,2333,Seinen,Seinen|Shounen|Seinen,seinen|seinen|shounen,,Seinen,Shounen|Seinen,
demographics,40351,Pokemon (2019),2351,Kodomo,Kodomo|Shounen,kodomo|shounen,Kodomo,Kodomo,Shounen,
demographics,1579,Kiniro no Corda: Primo Passo,2384,Josei,Josei|Shoujo,josei|shoujo,Josei,,Shoujo,
demographics,4026,Pokemon Movie 11: Giratina to Sora no Hanataba Sheimi,2398,Kodomo,Kodomo|Shounen,kodomo|shounen,Kodomo,Kodomo,Shounen,
demographics,2397,Digimon Adventure: Bokura no War Game!,2428,Kodomo,Kodomo|Shounen,kodomo|shounen,Kodomo,Kodomo,Shounen,
demographics,55973,30-sai made Doutei dato Mahoutsukai ni Nareru Rashii,2443,Shoujo,Josei|Shoujo,josei|shoujo,,Shoujo,Josei,
demographics,6178,Pokemon Movie 12: Arceus Choukoku no Jikuu e,2463,Kodomo,Kodomo|Shounen,kodomo|shounen,Kodomo,Kodomo,Shounen,
demographics,2201,Pokemon Movie 09: Pokemon Ranger to Umi no Ouji Manaphy,2485,Kodomo,Kodomo|Shounen,kodomo|shounen,Kodomo,Kodomo,Shounen,
demographics,859,Digimon Savers,2486,Kodomo,Kodomo|Shounen,kodomo|shounen,,Kodomo,Shounen,
demographics,966,Crayon Shin-chan,2500,Seinen,Kodomo|Seinen,kodomo|seinen,Seinen,Kodomo,Seinen,
demographics,14355,Yama no Susume,2518,Seinen,Seinen|Shounen|Seinen,seinen|seinen|shounen,,Seinen,Shounen|Seinen,
demographics,43691,Kageki Shoujo!!,2519,Shoujo,Josei|Shoujo,josei|shoujo,Shoujo,Shoujo,Josei,
demographics,10507,Inazuma Eleven Go,2520,Kodomo,Kodomo|Shounen,kodomo|shounen,,Kodomo,Shounen,
demographics,31452,Norn9: Norn+Nonet,2522,Josei,Josei|Shoujo,josei|shoujo,Josei,Josei,Shoujo,
demographics,6586,Yume-iro Pâtissière,2550,Shoujo,Shoujo|Shoujo|Kodomo,kodomo|shoujo|shoujo,Shoujo,Shoujo|Kodomo,Shoujo,
demographics,32175,Shounen Maid,2566,Shoujo,Shoujo|Shoujo|Kodomo,kodomo|shoujo|shoujo,Shoujo,Shoujo,Shoujo|Kodomo,
demographics,9065,Hakuouki: Hekketsuroku,2571,Josei,Josei|Shoujo,josei|shoujo,Josei,,Shoujo,
demographics,14189,Tasogare Otome x Amnesia: Taima Otome,2636,Shounen,Shounen|Shounen|Seinen,seinen|shounen|shounen,Shounen,Shounen,Shounen|Seinen,
demographics,50953,Bastard!! Ankoku no Hakaishin (ONA),2711,Seinen,Seinen|Shounen,seinen|shounen,Seinen,Seinen,Shounen,
demographics,19319,Gundam Build Fighters,2742,Kodomo,Kodomo|Shounen,kodomo|shounen,,Kodomo,Shounen,
demographics,412,Kore ga Watashi no Goshujinsama,2744,Shounen,Seinen|Shounen,seinen|shounen,Shounen,,Seinen,
demographics,7695,Pokemon Movie 13: Genei no Hasha Zoroark,2745,Kodomo,Kodomo|Shounen,kodomo|shounen,Kodomo,Kodomo,Shounen,
demographics,14093,Pokemon Best Wishes! Season 2,2779,Kodomo,Kodomo|Shounen,kodomo|shounen,Kodomo,Kodomo,Shounen,
demographics,3613,Toshokan Sensou,2780,Shoujo,Shoujo|Shounen|Seinen,seinen|shounen|shoujo,,Shoujo,Shounen|Seinen,
demographics,32551,Digimon Adventure tri. 3: Kokuhaku,2806,Kodomo,Kodomo|Shounen,kodomo|shounen,,Kodomo,Shounen,
demographics,54,Appleseed (Movie),2809,Shounen,Seinen|Shounen,seinen|shounen,,Shounen,Seinen,
demographics,33222,Fudanshi Koukou Seikatsu,2812,Josei,Josei|Shoujo,josei|shoujo,Josei,Josei,Shoujo,
demographics,326,Petshop of Horrors,2826,Josei,Josei|Shoujo,josei|shoujo,Josei,Josei,Shoujo,
demographics,10083,Shiki Specials,2838,Shounen,Shounen|Shounen|Seinen,seinen|shounen|shounen,Shounen,,Shounen|Seinen,
demographics,3225,Minami-ke Okawari,2853,Seinen,Seinen|Shounen,seinen|shounen,Seinen,Shounen,Seinen,
demographics,12317,Upotte!!,2871,Seinen,Seinen|Shounen|Seinen,seinen|seinen|shounen,Seinen,Seinen,Shounen|Seinen,
demographics,1669,Bakuten Shoot Beyblade 2002,2909,Shounen,Kodomo|Shounen,kodomo|shounen,Shounen,Kodomo,Shounen,
demographics,55310,Atarashii Joushi wa Do Tennen,2916,Seinen,Seinen|Seinen|Josei,josei|seinen|seinen,,Seinen,Seinen|Josei,
demographics,40602,7 Seeds 2nd Season,2918,Josei,Josei|Shoujo,josei|shoujo,Shoujo,Josei,Josei,
demographics,5337,Bakugan Battle Brawlers: New Vestroia,2937,Kodomo,Kodomo|Shounen,kodomo|shounen,,Kodomo,Shounen,
demographics,2471,Doraemon (1979),2949,Kodomo,Kodomo|Kodomo|Shounen,kodomo|kodomo|shounen,Kodomo|Shounen,Kodomo,Kodomo,
demographics,298,.hack//Tasogare no Udewa Densetsu,2965,Shounen,Seinen|Shounen,seinen|shounen,Shounen,Shounen,Seinen,
demographics,5162,Minami-ke Okaeri,2984,Seinen,Seinen|Shounen,seinen|shounen,Seinen,Shounen,Seinen,
demographics,41361,Eiga Daisuki Pompo-san,3019,Shoujo,Kodomo|Shoujo,kodomo|shoujo,,Shoujo,Kodomo,
demographics,1016,Gunnm,3031,Seinen,Seinen|Shounen,seinen|shounen,Seinen,Shounen,Seinen,
demographics,490,Paniponi Dash!,3032,Shounen,Seinen|Shounen,seinen|shounen,Shounen,Shounen,Seinen,
demographics,52031,Itou Junji: Maniac,3048,Seinen,Josei|Seinen,josei|seinen,Seinen,Josei,,
demographics,13261,Inazuma Eleven Go: Chrono Stone,3057,Kodomo,Kodomo|Shounen,kodomo|shounen,,Kodomo,Shounen,
demographics,11209,Maken-Ki! OVA,3067,Shounen,Shounen|Shounen|Seinen,seinen|shounen|shounen,,Shounen,Shounen|Seinen,
demographics,34540,Pokemon Movie 20: Kimi ni Kimeta!,3072,Kodomo,Kodomo|Shounen,kodomo|shounen,Kodomo,Kodomo,Shounen,
demographics,1051,Ao no 6-gou,3098,Shounen,Seinen|Shounen|Shounen|Seinen,seinen|seinen|shounen|shounen,Shounen,Seinen,Shounen|Seinen,
demographics,38302,Boku no Tonari ni Ankoku Hakaishin ga Imasu.,3105,Shoujo,Josei|Shoujo,josei|shoujo,Josei,Shoujo,Shoujo,
demographics,31665,Hibike! Euphonium: Kakedasu Monaka,3116,Seinen,Seinen|Shounen,seinen|shounen,,Seinen,Shounen,
demographics,3231,Gunslinger Girl: Il Teatrino,3145,Seinen,Seinen|Shounen|Seinen,seinen|seinen|shounen,,Seinen,Shounen|Seinen,
demographics,9917,Pokemon Movie 14 White: Victini to Kuroki Eiyuu Zekrom,3149,Kodomo,Kodomo|Shounen,kodomo|shounen,Kodomo,Kodomo,Shounen,
demographics,21469,Stand By Me Doraemon,3155,Kodomo,Kodomo|Kodomo|Shounen,kodomo|kodomo|shounen,Kodomo|Shounen,Kodomo,Kodomo,
demographics,1138,Medarot,3168,Kodomo|Shounen,Kodomo|Kodomo|Shounen,kodomo|kodomo|shounen,Kodomo|Shounen,Kodomo,,
demographics,36198,"Omiai Aite wa Oshiego, Tsuyoki na, Mondaiji.",3177,Josei,Josei|Josei|18+,18+|josei|josei,Josei,Josei,Josei|18+,
demographics,350,Ojamajo Doremi,3181,Kodomo,Kodomo|Shoujo,kodomo|shoujo,,Kodomo,Shoujo,
demographics,21439,Uta no☆Prince-sama♪ Maji Love Revolutions,3183,Josei,Josei|Shoujo,josei|shoujo,Josei,,Shoujo,
demographics,8410,Metal Fight Beyblade: Baku,3188,Kodomo,Kodomo|Shounen,kodomo|shounen,Kodomo,Kodomo,Shounen,
demographics,3656,Monochrome Factor,3195,Shoujo,Shoujo|Shounen|Shoujo,shoujo|shoujo|shounen,,Shoujo,Shounen|Shoujo,
demographics,9938,Ikoku Meiro no Croisée The Animation,3210,Seinen,Seinen|Shounen,seinen|shounen,Seinen,Seinen,Shounen,
demographics,41074,Digimon Adventure:,3223,Kodomo,Kodomo|Shounen,kodomo|shounen,Kodomo,Kodomo,Shounen,
demographics,13115,Hakuouki: Reimeiroku,3225,Josei,Josei|Shoujo,josei|shoujo,Josei,,Shoujo,
demographics,603,Futari wa Precure,3228,Kodomo,Kodomo|Shoujo,kodomo|shoujo,,Kodomo,Shoujo,
demographics,37281,Joshiochi! 2-kai kara Onnanoko ga... Futtekita!?,3256,Seinen,18+|Seinen,18+|seinen,,Seinen,18+,
demographics,1557,Shounen Onmyouji,3288,Shoujo,Shoujo|Shounen|Shoujo,shoujo|shoujo|shounen,Shoujo,,Shounen|Shoujo,
demographics,129,Gensoumaden Saiyuuki,3289,Shounen,Shoujo|Josei|Shounen,josei|shoujo|shounen,Shounen,Shounen,Shoujo|Josei,
demographics,12671,Pokemon Movie 15: Kyurem vs. Seikenshi,3312,Kodomo,Kodomo|Shounen,kodomo|shounen,Kodomo,Kodomo,Shounen,
demographics,1060,Oruchuban Ebichu,3315,Seinen,Josei|Seinen,josei|seinen,Seinen,Seinen,Josei,
demographics,37140,Gegege no Kitarou (2018),3346,Shounen,Kodomo|Shounen,kodomo|shounen,Shounen,Kodomo,,
demographics,18851,Fate/kaleid liner Prisma☆Illya: Undoukai de Dance!,3354,Shounen,Seinen|Shounen,seinen|shounen,,Shounen,Seinen,
demographics,2398,Digimon Adventure 02: Diablomon no Gyakushuu,3364,Kodomo,Kodomo|Shounen,kodomo|shounen,Kodomo,Kodomo,Shounen,
demographics,14645,Hiiro no Kakera 2nd Season,3369,Josei,Josei|Shoujo,josei|shoujo,Josei,Josei,Shoujo,
demographics,10370,Metal Fight Beyblade 4D,3413,Kodomo,Kodomo|Shounen,kodomo|shounen,Kodomo,Kodomo,Shounen,
demographics,8624,Digimon Xros Wars,3431,Kodomo,Kodomo|Shounen,kodomo|shounen,,Kodomo,Shounen,
demographics,8465,Ichiban Ushiro no Daimaou Specials,3438,Shounen,Shounen|Shounen|Seinen,seinen|shounen|shounen,,Shounen,Shounen|Seinen,
demographics,10740,Pokemon Movie 14 Black: Victini to Shiroki Eiyuu Reshiram,3452,Kodomo,Kodomo|Shounen,kodomo|shounen,Kodomo,Kodomo,Shounen,
demographics,16680,Pokemon Movie 16: Shinsoku no Genosect - Mewtwo Kakusei,3454,Kodomo,Kodomo|Shounen,kodomo|shounen,Kodomo,Kodomo,Shounen,
demographics,35629,Skirt no Naka wa Kedamono deshita.,3472,Josei,Josei|Josei|18+,18+|josei|josei,,Josei,Josei|18+,
demographics,21569,Pokemon Movie 17: Hakai no Mayu to Diancie,3487,Kodomo,Kodomo|Shounen,kodomo|shounen,Kodomo,Kodomo,Shounen,
demographics,1668,Bakuten Shoot Beyblade G Revolution,3491,Shounen,Kodomo|Shounen,kodomo|shounen,Shounen,Kodomo,Shounen,
demographics,7705,Starry☆Sky,3507,Josei,Josei|Shoujo,josei|shoujo,Josei,,Shoujo,
demographics,12191,Smile Precure!,3509,Kodomo,Kodomo|Shoujo,kodomo|shoujo,,Kodomo,Shoujo,
demographics,476,Ginban Kaleidoscope,3520,Shoujo,Shoujo|Shoujo|Seinen,seinen|shoujo|shoujo,,Shoujo,Shoujo|Seinen,
demographics,283,Akage no Anne,3525,Kodomo,Kodomo|Shoujo,kodomo|shoujo,,Kodomo,Shoujo,
demographics,31980,Okusama ga Seitokaichou! Seitokaichou to Ofuro Asobi,3611,Shounen,Seinen|Shounen,seinen|shounen,Shounen,Seinen,,
demographics,404,Bastard!! Ankoku no Hakaishin,3636,Shounen,Seinen|Shounen,seinen|shounen,Seinen,Shounen,Shounen,
demographics,789,Shinigami no Ballad.,3641,Shoujo,Seinen|Shoujo,seinen|shoujo,,Shoujo,Seinen,
