userID,holdout_animeID,train_anime_ids,profile_size,user_level,popularity_rank,latent_svd_rank,hybrid_rank,hybrid_top10_anime_ids,candidate_pool_size,holdout_title,train_titles,hybrid_top10_titles,case_type
383,10161,101|225|269|357|747|813|1723|3092|3375|3588|4814|4898|6033|8063|8247|9919|9926|9989|11111|11123,20,Casual Viewer,9,1,1,10161|22265|10793|9379|37347|4081|10719|19111|15689|14719,101,No.6,Air | Dragon Ball GT | Bleach | Bokusatsu Tenshi Dokuro-chan | Haru wo Daiteita | Dragon Ball Z | Clannad Movie | Junjou Romantica,No.6 | Free! Eternal Summer | Guilty Crown | Denpa Onna to Seishun Otoko | Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka II | Natsume Yuujinchou | Boku wa Tomodachi ga Sukunai | Love Live! School Idol Project 2nd Season | Nekomonogatari: Kuro | JoJo no Kimyou na Bouken (TV),both_hit
446,1862,1|5|6|15|16|20|30|43|49|50|52|53|57|59|60|62|64|65|66|67,718,Veteran Fan,20,5,5,1698|27831|1732|1029|1862|29093|14373|6927|650|6024,101,Strike Witches OVA,Cowboy Bebop | Cowboy Bebop: Tengoku no Tobira | Trigun | Eyeshield 21 | Hachimitsu to Clover | Naruto | Shinseiki Evangelion | Koukaku Kidoutai,Nodame Cantabile | Durarara!!x2 Ten | Negima!? Natsu Special!? | Omoide Poroporo | Strike Witches OVA | Grisaia no Meikyuu: Caprice no Mayu 0 | Arata naru Sekai: World's/Start/Load/End | Higashi no Eden: Air Communication | Gunsmith Cats | Chi's Sweet Home: Atarashii Ouchi,hybrid_win
447,10379,100|317|356|957|1557|4081|4722|5300|5355|5365|6045|6634|6895|7472|9000|9919|11771|14289|14467|14513,45,Casual Viewer,7,1,1,10379|5040|24133|31798|32668|22877|430|41353|23311|1498,101,Natsume Yuujinchou San,Shin Shirayuki-hime Densetsu Prétear | Final Fantasy VII: Advent Children | Fate/stay night | Saiunkoku Monogatari | Shounen Onmyouji | Natsume Yuujinchou | Skip Beat! | Zoku Natsume Yuujinchou,Natsume Yuujinchou San | One Outs | Taimadou Gakuen 35 Shiken Shoutai | Kiznaiver | Noblesse: Awakening | Seireitsukai no Blade Dance | Fullmetal Alchemist: The Conqueror of Shamballa | The God of High School | Garo: Honoo no Kokuin | Black Blood Brothers,both_hit
451,27631,1535|7088|7662|9041|9919|9989|10213|10620|11617|11757|12293|15451|18247|18277|18897|19815|21881|22663|22877|23273,35,Casual Viewer,6,1,1,27631|25159|31904|25731|39326|5|6864|36318|21177|11235,101,God Eater,Death Note | Ichiban Ushiro no Daimaou | Shinrei Tantei Yakumo | IS: Infinite Stratos | Ao no Exorcist | Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai. | Maji de Watashi ni Koi Shinasai! | Mirai Nikki (TV),God Eater | Inou-Battle wa Nichijou-kei no Naka de | Big Order (TV) | Cross Ange: Tenshi to Ryuu no Rondo | Kawaikereba Hentai demo Suki ni Natte Kuremasu ka? | Cowboy Bebop: Tengoku no Tobira | xxxHOLiC Rou | Quanzhi Fashi II | Nobunaga the Fool | Amagami SS+ Plus,both_hit
477,2251,4224|11887|12189|13469|14719|14741|14813|15809|16498|18397|18671|18753|20899|21405|23847|24833|25777|25781|26055|26349,60,Explorer,2,5,5,29093|12445|38993|187|2251|14353|13655|10397|20449|7711,101,Baccano!,Toradora! | Kokoro Connect | Hyouka | Hyouka: Motsubeki Mono wa | JoJo no Kimyou na Bouken (TV) | Chuunibyou demo Koi ga Shitai! | Yahari Ore no Seishun Love Comedy wa Machigatteiru. | Hataraku Maou-sama!,"Grisaia no Meikyuu: Caprice no Mayu 0 | Tasogare Otome x Amnesia | Karakai Jouzu no Takagi-san 2 | Initial D Third Stage | Baccano! | Death Billiards | Little Busters! | Mashiro-iro Symphony: The Color of Lovers | Watashi ga Motenai no wa Dou Kangaetemo Omaera ga Warui!: Motenaishi, Nazomeite Miru | Karigurashi no Arrietty",both_hit
549,136,20|199|431|527|528|813|1195|1210|1535|1564|1735|1840|2001|2116|2213|3712|4224|5114|6211|6547,82,Explorer,8,4,4,121|35073|38668|136|6572|1575|8525|33028|18671|2605,101,Hunter x Hunter,Naruto | Sen to Chihiro no Kamikakushi | Howl no Ugoku Shiro | Pokemon | Pokemon Movie 01: Mewtwo no Gyakushuu | Dragon Ball Z | Zero no Tsukaima | NHK ni Youkoso!,Fullmetal Alchemist | Overlord II | Dorohedoro | Hunter x Hunter | Shakugan no Shana S | Code Geass: Hangyaku no Lelouch | Kami nomi zo Shiru Sekai | Danganronpa 3: The End of Kibougamine Gakuen - Zetsubou-hen | Chuunibyou demo Koi ga Shitai! Ren | Sayonara Zetsubou Sensei,both_hit
551,11111,226|587|853|877|889|918|934|1519|1535|1575|1691|1723|2025|2167|2904|2966|3470|3731|4181|4224,80,Explorer,3,1,1,11111|6007|6702|7647|31964|10030|1239|25517|1142|18441,101,Another,Elfen Lied | Hanbun no Tsuki ga Noboru Sora | Ouran Koukou Host Club | Nana | Black Lagoon | Gintama | Higurashi no Naku Koro ni | Black Lagoon: The Second Barrage,Another | Ookami to Koushinryou II: Ookami to Kohakuiro no Yuuutsu | Fairy Tail | Arakawa Under the Bridge | Boku no Hero Academia | Bakuman. 2nd Season | Bishoujo Senshi Sailor Moon SuperS | Magic Kaito 1412 | Hachimitsu to Clover II | Blood Lad: Wagahai wa Neko de wa Nai,both_hit
567,4155,226|269|323|430|552|777|859|874|889|1132|1313|1519|1535|1575|1689|1735|2001|2123|2167|2397,196,Regular Fan,3,3,3,10408|15437|4155|31098|34428|35180|18689|38249|4015|36023,101,One Piece Film: Strong World,Elfen Lied | Bleach | Mousou Dairinin | Fullmetal Alchemist: The Conqueror of Shamballa | Digimon Adventure | Hellsing Ultimate | Digimon Savers | Digimon Tamers,"Hotarubi no Mori e | Kore wa Zombie desu ka? of the Dead: Hai, Minotake ni Attemasu | One Piece Film: Strong World | Ushio to Tora (TV) 2nd Season | Overlord Movie 2: Shikkoku no Eiyuu | 3-gatsu no Lion 2nd Season | Diamond no Ace | Saiki Kusuo no Ψ-nan: Kanketsu-hen | School Rumble San Gakki | Persona 5 the Animation",both_hit
594,35079,30|101|121|153|164|185|329|387|566|1210|1535|1575|1689|1818|1840|2167|2596|2904|2966|3712,82,Explorer,12,4,4,32998|32937|34933|35079|2034|634|38422|20903|35222|7817,101,Kino no Tabi: The Beautiful World - The Animated Series,Shinseiki Evangelion | Air | Fullmetal Alchemist | Juuni Kokuki | Mononoke Hime | Initial D First Stage | Planetes | Haibane Renmei,91 Days | Kono Subarashii Sekai ni Shukufuku wo! 2 | Kakegurui | Kino no Tabi: The Beautiful World - The Animated Series | Lovely★Complex | Koi Kaze | High Score Girl: Extra Stage | Harmonie | Gakuen Babysitters | B-gata H-kei,hybrid_win
595,1575,33|43|80|90|91|93|94|270|356|527|777|849|889|918|1210|1482|1519|1535|2581|2904,77,Explorer,1,1,1,1575|11111|223|8424|31043|32686|18245|38249|558|10578,101,Code Geass: Hangyaku no Lelouch,Kenpuu Denki Berserk | Koukaku Kidoutai | Kidou Senshi Gundam | Shin Kidou Senki Gundam Wing | Shin Kidou Senki Gundam Wing: Endless Waltz | Kidou Senshi Gundam SEED | Kidou Senshi Gundam SEED Destiny | Hellsing,Code Geass: Hangyaku no Lelouch | Another | Dragon Ball | MM! | Boku dake ga Inai Machi | Keijo!!!!!!!! | White Album 2 | Saiki Kusuo no Ψ-nan: Kanketsu-hen | Major S2 | C³,both_hit
652,5781,19|20|30|32|44|67|79|102|121|147|164|165|169|195|198|199|223|226|237|245,271,Dedicated Fan,7,2,2,2167|5781|33161|30911|2104|34321|63|35203|2403|34403,101,Isekai no Seikishi Monogatari,"Monster | Naruto | Shinseiki Evangelion | Shinseiki Evangelion Movie: Air/Magokoro wo, Kimi ni | Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen | Basilisk: Kouga Ninpou Chou | Shuffle! | Aishiteruze Baby★★",Clannad | Isekai no Seikishi Monogatari | Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku OVA | Tales of Zestiria the Cross | Seto no Hanayome | Fate/Grand Order: First Order | DearS | Isekai wa Smartphone to Tomo ni. | Kodomo no Jikan (TV) | Hajimete no Gal,both_hit
671,30015,1|20|30|32|205|227|263|268|269|889|918|934|1535|1575|1604|1889|2251|2759|2904|2966,157,Regular Fan,1,1,1,30015|37349|34944|37675|30544|20787|15037|9260|17074|114,101,ReLIFE,"Cowboy Bebop | Naruto | Shinseiki Evangelion | Shinseiki Evangelion Movie: Air/Magokoro wo, Kimi ni | Samurai Champloo | FLCL | Hajime no Ippo | Golden Boy",ReLIFE | Goblin Slayer | Bungou Stray Dogs: Dead Apple | Overlord III | Gakusen Toshi Asterisk | Black Bullet | Corpse Party: Tortured Souls - Bougyakusareta Tamashii no Jukyou | Kizumonogatari I: Tekketsu-hen | Monogatari Series: Second Season | Sakigake!! Cromartie Koukou,both_hit
772,326,59|121|149|226|228|232|435|586|759|853|1210|1535|1594|2236|2605|3713|5365|7817|20583|28171,26,Casual Viewer,15,4,5,66|2924|32686|3470|326|14199|2235|528|2889|2216,101,Petshop of Horrors,Chobits | Fullmetal Alchemist | Loveless | Elfen Lied | Jigoku Shoujo | Cardcaptor Sakura | Magic Knight Rayearth | Ayakashi: Japanese Classic Horror,Azumanga Daiou The Animation | ef: A Tale of Memories. | Keijo!!!!!!!! | Special A | Petshop of Horrors | Oniichan dakedo Ai sae Areba Kankeinai yo ne! | Mizu no Kotoba | Pokemon Movie 01: Mewtwo no Gyakushuu | Bleach Movie 2: The DiamondDust Rebellion - Mou Hitotsu no Hyourinmaru | Shigurui,hybrid_win
816,7711,164|199|431|512|16870|33783,6,Newcomer,5,1,1,7711|30911|20853|15699|237|34096|202|243|21405|166,101,Karigurashi no Arrietty,Mononoke Hime | Sen to Chihiro no Kamikakushi | Howl no Ugoku Shiro | Majo no Takkyuubin | The Last: Naruto the Movie | Godzilla 1: Kaijuu Wakusei,Karigurashi no Arrietty | Tales of Zestiria the Cross | Hitsugi no Chaika | Haiyore! Nyaruko-san W | Koukyoushihen Eureka Seven | Gintama. | Wolf's Rain | Gravitation | Bokura wa Minna Kawai-sou | Samurai 7,both_hit
820,19363,47|57|164|199|302|415|416|431|433|437|512|513|523|572|578|585|597|743|759|853,289,Dedicated Fan,7,1,1,19363|40911|1840|59|35847|10218|9656|13409|953|894,101,Gin no Saji 2nd Season,Akira | Beck | Mononoke Hime | Sen to Chihiro no Kamikakushi | Mirai Shounen Conan | Tonari no Yamada-kun | Kurenai no Buta | Howl no Ugoku Shiro,Gin no Saji 2nd Season | Yuukoku no Moriarty | Zero no Tsukaima: Futatsuki no Kishi | Chobits | SSSS.Gridman | Berserk: Ougon Jidai-hen I - Haou no Tamago | Kimi ni Todoke 2nd Season | Moyashimon Returns | Juu Ou Sei | Dragon Ball Z Movie 01: Ora no Gohan wo Kaese!!,both_hit
822,41353,20|44|46|113|120|121|1735,7,Newcomer,12,18,10,1142|1281|36098|20847|28725|32153|16762|35249|1253|41353,101,The God of High School,Naruto | Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen | Rurouni Kenshin: Meiji Kenkaku Romantan - Ishinshishi e no Chinkonka | Uchuu no Stellvia | Fruits Basket | Fullmetal Alchemist | Naruto: Shippuuden,Hachimitsu to Clover II | Gakkou no Kaidan | Kimi no Suizou wo Tabetai | Seitokai Yakuindomo* | Kokoro ga Sakebitagatterunda. | Mahou Shoujo Madoka★Magica: Concept Movie | Mirai Nikki: Redial | Uma Musume: Pretty Derby | Saint Seiya: Meiou Hades Meikai-hen | The God of High School,hybrid_win
829,19111,19|339|440|512|849|1029|1689|5941|7311|9253|9289|10800|12189|12477|14397|15051|15227|16782|23273|25835,31,Casual Viewer,6,5,5,28851|33487|585|2924|19111|36470|37379|11917|2752|35712,101,Love Live! School Idol Project 2nd Season,Monster | Serial Experiments Lain | Shoujo Kakumei Utena | Majo no Takkyuubin | Suzumiya Haruhi no Yuuutsu | Omoide Poroporo | Byousoku 5 Centimeter | Cross Game,Koe no Katachi | Masamune-kun no Revenge | Mimi wo Sumaseba | ef: A Tale of Memories. | Love Live! School Idol Project 2nd Season | Tada-kun wa Koi wo Shinai | Chihayafuru 3 | Major: World Series | Tennis no Oujisama: Zenkoku Taikai-hen - Semifinal | Boku no Kanojo ga Majimesugiru Sho-bitch na Ken,both_hit
858,11741,1|61|68|104|156|164|205|227|356|431|447|450|452|523|530|531|532|572|740|997,97,Explorer,1,1,1,11741|2685|9724|28497|617|16668|2002|153|5079|5233,101,Fate/Zero 2nd Season,Cowboy Bebop | D.N.Angel | Black Cat | Ayashi no Ceres | X | Mononoke Hime | Samurai Champloo | FLCL,Fate/Zero 2nd Season | Tsubasa: Tokyo Revelations | Break Blade Movie 5: Shisen no Hate | Rokka no Yuusha | Juubee Ninpuuchou | Kakumeiki Valvrave | Heroic Age | Juuni Kokuki | Kurokami The Animation | Slayers Evolution-R,both_hit
936,8247,1|6|8|20|24|27|30|33|43|45|48|52|53|57|60|61|62|63|64|66,572,Veteran Fan,5,1,1,8247|357|3731|31327|32668|558|7590|15225|1138|19759,101,Bleach Movie 4: Jigoku-hen,Cowboy Bebop | Trigun | Bouken Ou Beet | Naruto | School Rumble | Trinity Blood | Shinseiki Evangelion | Kenpuu Denki Berserk,Bleach Movie 4: Jigoku-hen | Bokusatsu Tenshi Dokuro-chan | Itazura na Kiss | Shokugeki no Souma OVA | Noblesse: Awakening | Major S2 | Mayoi Neko Overrun! | Hentai Ouji to Warawanai Neko. | Medarot | Ansatsu Kyoushitsu: Jump Festa 2013 Special,both_hit
957,523,24|25|26|43|71|72|73|79|97|101|134|150|198|199|205|208|209|226|227|237,93,Explorer,4,1,1,523|4382|35788|6512|30240|8100|16894|11111|4151|490,101,Tonari no Totoro,School Rumble | Sunabouzu | Texhnolyze | Koukaku Kidoutai | Full Metal Panic! | Full Metal Panic? Fumoffu | Full Metal Panic! The Second Raid | Shuffle!,Tonari no Totoro | Suzumiya Haruhi no Yuuutsu (2009) | Shokugeki no Souma: San no Sara | Nyan Koi! | Prison School | Mardock Scramble: The First Compression | Kuroko no Basket 2nd Season | Another | Mugen no Juunin | Paniponi Dash!,both_hit
968,35760,30|32|481|527|853|1520|1565|1575|2904|3092|4814|4898|5114|6547|6702|6707|9982|11111|12049|13601,98,Explorer,2,1,1,35760|31043|30885|34451|8516|11135|36904|11703|32951|38234,101,Shingeki no Kyojin Season 3,"Shinseiki Evangelion | Shinseiki Evangelion Movie: Air/Magokoro wo, Kimi ni | Yu☆Gi☆Oh! Duel Monsters | Pokemon | Ouran Koukou Host Club | Black Jack | Pokemon Diamond & Pearl | Code Geass: Hangyaku no Lelouch",Shingeki no Kyojin Season 3 | Boku dake ga Inai Machi | Noragami Aragoto OVA | Kekkai Sensen & Beyond | Baka to Test to Shoukanjuu Ni! | Hybrid Child | Aggressive Retsuko (ONA) | Code:Breaker | Rokudenashi Majutsu Koushi to Akashic Records | One Piece Movie 14: Stampede,both_hit
998,1956,1|5|20|30|32|43|47|50|53|59|61|68|71|72|73|93|94|120|121|122,406,Dedicated Fan,16,7,8,6|31251|2107|2986|21561|7059|17265|1956|10611|21431,101,Ikkitousen: Dragon Destiny,"Cowboy Bebop | Cowboy Bebop: Tengoku no Tobira | Naruto | Shinseiki Evangelion | Shinseiki Evangelion Movie: Air/Magokoro wo, Kimi ni | Koukaku Kidoutai | Akira | Aa! Megami-sama! (TV)",Trigun | Kidou Senshi Gundam: Tekketsu no Orphans | One Piece Movie 08: Episode of Alabasta - Sabaku no Oujo to Kaizoku-tachi | Bamboo Blade | Ryuugajou Nanana no Maizoukin | Black★Rock Shooter (OVA) | Log Horizon | Ikkitousen: Dragon Destiny | R-15 | Gokukoku no Brynhildr,hybrid_win
1049,17549,43|74|121|154|162|177|199|232|355|371|372|430|431|488|513|523|528|552|572|585,233,Regular Fan,5,2,2,18153|17549|27831|7724|4896|31|1029|6974|16005|9736,101,Non Non Biyori,Koukaku Kidoutai | Gakuen Alice | Fullmetal Alchemist | Shaman King | Pita Ten | Tsubasa Chronicle | Sen to Chihiro no Kamikakushi | Cardcaptor Sakura,Kyoukai no Kanata | Non Non Biyori | Durarara!!x2 Ten | Shiki | Umineko no Naku Koro ni | Shinseiki Evangelion Movie: Shi to Shinsei | Omoide Poroporo | Seikimatsu Occult Gakuin | Zettai Karen Children: The Unlimited - Hyoubu Kyousuke | Astarotte no Omocha!,both_hit
1050,38691,199|268|1535|2001|4224|5114|6547|6702|6880|8074|9253|9919|9989|10620|10719|11061|11111|11757|11887|12189,170,Regular Fan,2,1,1,38691|32729|38889|31757|5040|4896|5941|2246|12883|11837,101,Dr. Stone,Sen to Chihiro no Kamikakushi | Golden Boy | Death Note | Tengen Toppa Gurren Lagann | Toradora! | Fullmetal Alchemist: Brotherhood | Angel Beats! | Fairy Tail,Dr. Stone | Orange | Kono Oto Tomare! Part 2 | Kizumonogatari II: Nekketsu-hen | One Outs | Umineko no Naku Koro ni | Cross Game | Mononoke | Tsuritama | Zetman,both_hit
1065,28701,20|121|154|223|269|813|857|874|1313|1535|1604|1735|1818|5114|6547|6702|6880|9919|9989|10033,52,Explorer,1,1,1,28701|12565|268|31706|8675|35330|34451|180|19191|1142,101,Fate/stay night: Unlimited Blade Works 2nd Season,Naruto | Fullmetal Alchemist | Shaman King | Dragon Ball | Bleach | Dragon Ball Z | Air Gear | Digimon Tamers,Fate/stay night: Unlimited Blade Works 2nd Season | Fate/Prototype | Golden Boy | Fate/kaleid liner Prisma☆Illya 3rei!! | Seitokai Yakuindomo | Poputepipikku | Kekkai Sensen & Beyond | Vandread | Koukaku Kidoutai Arise: Ghost in the Shell - Border:2 Ghost Whispers | Hachimitsu to Clover II,both_hit
1086,9260,205|1535|1698|2418|2966|3002|4477|5081|5341|5681|5690|6675|6746|7785|9253|9989|10271|11061|11843|12189,77,Explorer,4,1,2,31859|9260|34076|18119|10080|35712|5277|7044|28|15039,101,Kizumonogatari I: Tekketsu-hen,Samurai Champloo | Death Note | Nodame Cantabile | Stranger: Mukou Hadan | Ookami to Koushinryou | Gyakkyou Burai Kaiji: Ultimate Survivor | Nodame Cantabile: Paris-hen | Bakemonogatari,Hai to Gensou no Grimgar | Kizumonogatari I: Tekketsu-hen | Uchouten Kazoku 2 | Servant x Service | Kami nomi zo Shiru Sekai II | Boku no Kanojo ga Majimesugiru Sho-bitch na Ken | Sekirei: Pure Engagement | Zan Sayonara Zetsubou Sensei Bangaichi | Yakitate!! Japan | Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai. Movie,both_hit
