userID,holdout_animeID,train_anime_ids,profile_size,user_level,popularity_rank,metadata_rank,graph_rank,people_staff_rank,item_knn_rank,latent_svd_rank,full_hybrid_rank,tuned_hybrid_rank,level_tuned_hybrid_rank,example_method,product_hybrid_top12_anime_ids,candidate_pool_size,holdout_title,train_titles,product_hybrid_top12_titles,case_type
927153,36407,121|431|877|1535|1575|1689|2167|2904|4181|4224|4898|5680|6213|6547|6880|8769|9041|9919|9989|10408,201,Fan,6,8,1,18,1,1,1,1,1,level_tuned_product_hybrid,36407|2966|41168|13655|41514|49520|42670|31318|38268|49834|31680|28957,101,Kenja no Mago,Fullmetal Alchemist | Howl no Ugoku Shiro | Nana | Death Note | Code Geass: Hangyaku no Lelouch | Byousoku 5 Centimeter | Clannad | Code Geass: Hangyaku no Lelouch R2,Kenja no Mago | Ookami to Koushinryou | Nakitai Watashi wa Neko wo Kaburu | Little Busters! | Itai no wa Iya nanode Bougyoryoku ni Kyokufuri Shitai to Omoimasu. 2 | Aharen-san wa Hakarenai | Princess Connect! Re:Dive Season 2 | Comet Lucifer | Hangyakusei Million Arthur 2nd Season | Boku ga Aishita Subete no Kimi e | Super Lovers | Mushishi Zoku Shou: Suzu no Shizuku,both_hit
955483,47790,251|934|1535|2971|4898|5114|7088|8841|9919|9989|10790|11737|12293|14749|15225|15583|15809|16005|16397|16668,142,Casual,2,2,1,55,1,1,1,1,1,level_tuned_product_hybrid,47790|40507|356|46471|49889|31716|53580|4214|35851|20541|41103|32566,101,"Sekai Saikou no Ansatsusha, Isekai Kizoku ni Tensei suru",Kyou kara Maou! | Higurashi no Naku Koro ni | Death Note | Kyou kara Maou! R | Kuroshitsuji | Fullmetal Alchemist: Brotherhood | Ichiban Ushiro no Daimaou | Kore wa Zombie desu ka?,"Sekai Saikou no Ansatsusha, Isekai Kizoku ni Tensei suru | Arifureta Shokugyou de Sekai Saikyou 2nd Season | Fate/stay night | Tantei wa Mou, Shindeiru. | Tsuki ga Michibiku Isekai Douchuu 2nd Season | Rewrite | Tensei shitara Slime Datta Ken 3rd Season | Rosario to Vampire Capu2 | Sayonara no Asa ni Yakusoku no Hana wo Kazarou | Mikakunin de Shinkoukei | Koi to Yobu ni wa Kimochi Warui | Noblesse: Pamyeol-ui Sijak",both_hit
1016021,6033,20|21|223|225|269|283|762|813|834|891|892|893|906|987|1485|1535|1686|2156|2544|2559,200,Fan,6,8,3,5,3,1,1,1,1,level_tuned_product_hybrid,6033|24405|50613|31765|37345|31339|31637|28297|250|32871|57554|8171,101,Dragon Ball Kai,Naruto | One Piece | Dragon Ball | Dragon Ball GT | Bleach | Akage no Anne | Bleach: Memories in the Rain | Dragon Ball Z,"Dragon Ball Kai | World Trigger | Rurouni Kenshin: Meiji Kenkaku Romantan (2023) | Sword Art Online Movie: Ordinal Scale | Plunderer | Drifters | Gate: Jieitai Kanochi nite, Kaku Tatakaeri Part 2 | Ore Monogatari!! | Konjiki no Gash Bell!! | Kuroko no Basket Movie 3: Winter Cup - Tobira no Mukou | Rurouni Kenshin: Meiji Kenkaku Romantan - Kyoto Douran | One Piece Recap",both_hit
1021277,1604,20|21|136|226|317|853|1535|1562|1575|1735|2001|2904|3470|3731|4181|4722|4752|5114|6045|9120,88,Casual,8,4,2,19,8,3,2,2,2,level_tuned_product_hybrid,9919|1604|14397|39551|31245|907|35198|35849|25045|8894|36537|335,101,Katekyou Hitman Reborn!,Naruto | One Piece | Hunter x Hunter | Elfen Lied | Final Fantasy VII: Advent Children | Ouran Koukou Host Club | Death Note | Yamato Nadeshiko Shichihenge♥,Ao no Exorcist | Katekyou Hitman Reborn! | Chihayafuru 2 | Tensei shitara Slime Datta Ken 2nd Season | Zutto Mae kara Suki deshita. Kokuhaku Jikkou Iinkai | Princess Princess | Free! Take Your Marks | Darling in the FranXX | Mijikamon | Yume-iro Pâtissière: Mune Kyun Tropical Island! | Starmyu in Halloween | Matantei Loki Ragnarok,both_hit
1124886,51180,21|7054|13759|16498|20583|21877|25777|28677|28891|31240|32281|32935|33255|34280|35507|35760|38524|38826|38883|39587,50,Casual,7,3,1,7,1,1,1,1,1,level_tuned_product_hybrid,51180|52865|21995|40839|36653|9260|40456|186|52347|1412|33|25157,101,Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e 3rd Season,One Piece | Kaichou wa Maid-sama! | Sakura-sou no Pet na Kanojo | Shingeki no Kyojin | Haikyuu!! | High Score Girl | Shingeki no Kyojin Season 2 | Yamada-kun to 7-nin no Majo,"Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e 3rd Season | Romantic Killer | Ao Haru Ride | Kanojo, Okarishimasu | Tsurune: Kazemai Koukou Kyuudou-bu | Kizumonogatari I: Tekketsu-hen | Kimetsu no Yaiba Movie: Mugen Ressha-hen | Initial D Second Stage | Shangri-La Frontier: Kusoge Hunter, Kamige ni Idoman to su | Lupin III | Kenpuu Denki Berserk | Trinity Seven",both_hit
1201143,38329,1|20|30|32|43|47|164|199|223|226|249|269|338|431|523|777|813|885|905|906,103,Casual,1,7,3,19,3,2,2,2,2,level_tuned_product_hybrid,49926|38329|121|6|26243|6171|37208|1030|36873|19951|15379|35972,101,Seishun Buta Yarou wa Yumemiru Shoujo no Yume wo Minai,"Cowboy Bebop | Naruto | Shinseiki Evangelion | Shinseiki Evangelion Movie: Air/Magokoro wo, Kimi ni | Koukaku Kidoutai | Akira | Mononoke Hime | Sen to Chihiro no Kamikakushi",Kimetsu no Yaiba: Mugen Ressha-hen | Seishun Buta Yarou wa Yumemiru Shoujo no Yume wo Minai | Fullmetal Alchemist | Trigun | Owari no Seraph | Saint Seiya: The Lost Canvas - Meiou Shinwa | Mo Dao Zu Shi | Heisei Tanuki Gassen Ponpoko | Back Street Girls: Gokudolls | Hunter x Hunter Movie 2: The Last Mission | Kotoura-san | Fairy Tail: Final Series,both_hit
1203394,49596,19|20|21|136|223|269|317|392|813|918|1195|1535|1722|1735|1816|1840|2104|2890|2952|3455,239,Fan,1,17,5,3,3,1,2,2,2,level_tuned_product_hybrid,40496|49596|34934|57611|40436|31245|40351|25013|32365|49612|58125|40853,101,Blue Lock,Monster | Naruto | One Piece | Hunter x Hunter | Dragon Ball | Bleach | Final Fantasy VII: Advent Children | Yuu☆Yuu☆Hakusho,"Maou Gakuin no Futekigousha: Shijou Saikyou no Maou no Shiso, Tensei shite Shison-tachi no Gakkou e Kayou | Blue Lock | Koi to Uso | Kimi wa Meido-sama. | Peter Grill to Kenja no Jikan | Zutto Mae kara Suki deshita. Kokuhaku Jikkou Iinkai | Pokemon (2019) | Akatsuki no Yona | Boruto: Naruto the Movie - Naruto ga Hokage ni Natta Hi | Ningen Fushin no Boukensha-tachi ga Sekai wo Sukuu you desu | Look Back | Stand By Me Doraemon 2",both_hit
1262393,30831,1|30|31|32|43|45|47|164|199|205|226|384|395|416|431|437|512|572|578|889,55,Casual,1,26,4,34,37,1,1,1,1,level_tuned_product_hybrid,30831|918|39806|34498|13659|35062|8142|62001|23133|34984|155|40215,101,Kono Subarashii Sekai ni Shukufuku wo!,"Cowboy Bebop | Shinseiki Evangelion | Shinseiki Evangelion Movie: Shi to Shinsei | Shinseiki Evangelion Movie: Air/Magokoro wo, Kimi ni | Koukaku Kidoutai | Rurouni Kenshin: Meiji Kenkaku Romantan | Akira | Mononoke Hime","Kono Subarashii Sekai ni Shukufuku wo! | Gintama | Mugen no Juunin: Immortal | Uchiage Hanabi, Shita kara Miru ka? Yoko kara Miru ka? | Ore no Imouto ga Konnani Kawaii Wake ga Nai. | Mahoutsukai no Yome | Colorful (Movie) | Yomi no Tsugai | M3: Sono Kuroki Hagane | Koi wa Ameagari no You ni | X/1999 | Aggressive Retsuko (ONA) 3rd Season",both_hit
1271142,25537,1|164|199|227|268|269|306|431|523|935|1535|1818|2001|2251|3455|3588|3974|4224|5074|5114,392,Fan,1,2,1,4,11,1,1,1,1,level_tuned_product_hybrid,25537|33731|16524|54915|53879|15037|25867|38663|1559|53237|54029|97,101,Fate/stay night Movie: Heaven's Feel - I. Presage Flower,Cowboy Bebop | Mononoke Hime | Sen to Chihiro no Kamikakushi | FLCL | Golden Boy | Bleach | Abenobashi Mahou☆Shoutengai | Howl no Ugoku Shiro,Fate/stay night Movie: Heaven's Feel - I. Presage Flower | Gabriel DropOut | Suisei no Gargantia | 5-toubun no Hanayome∽ | Kamonohashi Ron no Kindan Suiri | Corpse Party: Tortured Souls - Bougyakusareta Tamashii no Jukyou | Rolling☆Girls | Mushikago no Cagaster | Shijou Saikyou no Deshi Kenichi | Shy | Wu Liuqi: Anying Suming | Last Exile,both_hit
1367643,38883,21|43|136|164|199|223|356|431|437|512|513|523|572|578|585|597|813|1535|1575|1735,215,Fan,1,22,11,1,13,1,1,1,1,level_tuned_product_hybrid,38883|19369|32105|12445|18689|48406|56285|16934|40620|34537|39555|902,101,Haikyuu!! To the Top,One Piece | Koukaku Kidoutai | Hunter x Hunter | Mononoke Hime | Sen to Chihiro no Kamikakushi | Dragon Ball | Fate/stay night | Howl no Ugoku Shiro,Haikyuu!! To the Top | Outbreak Company | Sousei no Onmyouji | Tasogare Otome x Amnesia | Diamond no Ace | Re-Main | Ninja Kamui | Chuunibyou demo Koi ga Shitai! Kirameki no... Slapstick Noel | Uramichi Oniisan | Yoru wa Mijikashi Arukeyo Otome | Baki: Dai Raitaisai-hen | Dragon Ball Z Movie 09: Ginga Girigiri!! Bucchigiri no Sugoi Yatsu,both_hit
1394665,19815,199|228|853|1535|1575|4898|5114|8525|9253|9756|9989|10080|11061|13601|15809|16498|16706|17265|20507|20583,176,Fan,1,11,1,9,5,1,1,1,1,level_tuned_product_hybrid,19815|23283|53447|35120|35737|36896|61339|19221|14741|31173|38474|41103,101,No Game No Life,Sen to Chihiro no Kamikakushi | Jigoku Shoujo | Ouran Koukou Host Club | Death Note | Code Geass: Hangyaku no Lelouch | Kuroshitsuji | Fullmetal Alchemist: Brotherhood | Kami nomi zo Shiru Sekai,"No Game No Life | Zankyou no Terror | Tu Bian Yingxiong X | Devilman: Crybaby | Pluto | Boku no Hero Academia the Movie 1: Futari no Hero | Jibaku Shounen Hanako-kun 2 Part 2 | Ore no Nounai Sentakushi ga, Gakuen Love Comedy wo Zenryoku de Jama Shiteiru | Chuunibyou demo Koi ga Shitai! | Akagami no Shirayuki-hime 2nd Season | Yuru Camp△ Season 2 | Koi to Yobu ni wa Kimochi Warui",both_hit
1418140,38524,199|2167|4059|4181|4224|5177|5680|6114|6351|6547|6862|8460|9253|9289|9989|10620|11617|12189|12355|12467,203,Fan,1,4,5,5,11,1,2,3,3,level_tuned_product_hybrid,35839|34798|38524|37379|40496|2251|39730|31414|60427|59062|45598|31716,101,Shingeki no Kyojin Season 3 Part 2,"Sen to Chihiro no Kamikakushi | Clannad | Clannad: Mou Hitotsu no Sekai, Tomoyo-hen | Clannad: After Story | Toradora! | Denpa-teki na Kanojo | K-On! | Rainbow: Nisha Rokubou no Shichinin","Sora yori mo Tooi Basho | Yuru Camp△ | Shingeki no Kyojin Season 3 Part 2 | Chihayafuru 3 | Maou Gakuin no Futekigousha: Shijou Saikyou no Maou no Shiso, Tensei shite Shison-tachi no Gakkou e Kayou | Baccano! | Houkago Teibou Nisshi | Nijiiro Days | Gnosia | Gachiakuta | Tonikaku Kawaii: Kaisou | Rewrite",both_hit
1490198,16726,45|101|122|133|135|158|226|256|355|356|358|376|521|603|645|656|710|713|756|819,1415,Veteran,63,27,17,54,24,73,52,37,25,level_tuned_product_hybrid,11179|35363|38830|57648|49220|32038|33|23341|58820|30100|18893|44881,101,gdgd Fairies 2,Rurouni Kenshin: Meiji Kenkaku Romantan | Air | Full Moon wo Sagashite | Green Green | Hikaru no Go | Maria-sama ga Miteru | Elfen Lied | Hoshi no Koe,"Papa no Iukoto wo Kikinasai! | Kobayashi-san Chi no Maid Dragon: Valentine, Soshite Onsen! - Amari Kitai Shinaide Kudasai | Hachi-nan tte, Sore wa Nai deshou! | Nihon e Youkoso Elf-san. | Isekai Ojisan | Show By Rock!! # | Kenpuu Denki Berserk | Yoku Wakaru Mahouka! | Awajima Hyakkei | Black Bullet: Tenchuu*Girls | Aoki Hagane no Arpeggio: Ars Nova | 100-man no Inochi no Ue ni Ore wa Tatteiru 2nd Season",both_miss
1669295,34437,1575|2904|11757|31765|34902|35376|36474|38101|39597|39783|40540|48548|52034,13,Beginner,6,11,1,3,1,1,1,1,1,level_tuned_product_hybrid,34437|14513|25731|35848|33899|37956|2923|918|39071|2236|33203|49220,101,Code Geass: Fukkatsu no Lelouch,Code Geass: Hangyaku no Lelouch | Code Geass: Hangyaku no Lelouch R2 | Sword Art Online | Sword Art Online Movie: Ordinal Scale | Tsurezure Children | Himouto! Umaru-chan R | Sword Art Online: Alicization | 5-toubun no Hanayome,Code Geass: Fukkatsu no Lelouch | Magi: The Labyrinth of Magic | Cross Ange: Tenshi to Ryuu no Rondo | Promare | IDOLiSH7 | 3D Kanojo: Real Girl 2nd Season | Shugo Chara! | Gintama | Machikado Mazoku | Toki wo Kakeru Shoujo | Fukumenkei Noise | Isekai Ojisan,both_hit
1723762,40935,1|5|20|30|47|59|64|65|101|111|120|164|177|199|210|226|232|250|322|334,881,Veteran,4,1,7,25,83,1,1,1,1,level_tuned_product_hybrid,40935|44807|34238|36803|18413|23787|20673|52045|58390|23359|201|34549,101,Beastars 2nd Season,Cowboy Bebop | Cowboy Bebop: Tengoku no Tobira | Naruto | Shinseiki Evangelion | Akira | Chobits | Rozen Maiden | Rozen Maiden: Träumend,Beastars 2nd Season | Ryuu to Sobakasu no Hime | Osomatsu-san: Ouma de Kobanashi | Servamp Movie: Alice in the Garden | Puchitto Gargantia | Hi☆sCoool! SeHa Girls | Hinata no Aoshigure | Obey Me! Season 2 | Yofukashi no Uta Season 2 | Code Geass: Boukoku no Akito 2 - Hikisakareshi Yokuryuu Picture Drama | Video Girl Ai | Ryuu no Haisha,both_hit
1817590,1535,9253|16498|20583|23273|28851|31043|31240|31964|32281|35507|38000|40748|50265|52034,14,Beginner,1,1,1,13,1,1,1,1,1,level_tuned_product_hybrid,1535|11577|38524|36649|50346|34544|2581|245|10805|21855|40392|24655,101,Death Note,Steins;Gate | Shingeki no Kyojin | Haikyuu!! | Shigatsu wa Kimi no Uso | Koe no Katachi | Boku dake ga Inai Machi | Re:Zero kara Hajimeru Isekai Seikatsu | Boku no Hero Academia,Death Note | Steins;Gate Movie: Fuka Ryouiki no Déjà vu | Shingeki no Kyojin Season 3 Part 2 | Banana Fish | Yofukashi no Uta | Koutetsujou no Kabaneri Movie 3: Unato Kessen | Kidou Senshi Gundam 00 | Great Teacher Onizuka | Kami nomi zo Shiru Sekai: 4-nin to Idol | Hanamonogatari | Runway de Waratte | Date A Live Movie: Mayuri Judgment,both_hit
1852277,7054,1|5|16|19|32|33|43|47|57|101|121|136|137|138|139|145|150|199|205|227,694,Veteran,1,7,1,4,93,3,2,1,3,level_tuned_product_hybrid,21843|12431|7054|6421|37426|34642|11933|223|15959|56701|50552|32122,101,Kaichou wa Maid-sama!,"Cowboy Bebop | Cowboy Bebop: Tengoku no Tobira | Hachimitsu to Clover | Monster | Shinseiki Evangelion Movie: Air/Magokoro wo, Kimi ni | Kenpuu Denki Berserk | Koukaku Kidoutai | Akira",Shingeki no Bahamut: Genesis | Uchuu Kyoudai | Kaichou wa Maid-sama! | Fullmetal Alchemist: Brotherhood Specials | Sarazanmai | Shingeki no Bahamut: Genesis - Short Story | Oda Nobuna no Yabou | Dragon Ball | Nurarihyon no Mago OVA | Watashi no Shiawase na Kekkon 2nd Season | Yowamushi Pedal: Limit Break | Gintama°: Umai-mono wa Atomawashi ni Suru to Yokodorisareru kara Yappari Saki ni Kue,both_hit
1914029,36456,6|18|19|20|21|33|121|136|170|185|186|187|199|245|263|268|269|292|339|457,246,Fan,2,4,3,2,66,2,2,2,2,level_tuned_product_hybrid,44511|36456|37984|16918|50932|34934|16870|61549|41762|35076|43555|42941,101,Boku no Hero Academia 3rd Season,Trigun | Initial D Fourth Stage | Monster | Naruto | One Piece | Kenpuu Denki Berserk | Fullmetal Alchemist | Hunter x Hunter,"Chainsaw Man | Boku no Hero Academia 3rd Season | Kumo desu ga, Nani ka? | Gin no Saji | Saikyou Onmyouji no Isekai Tenseiki | Koi to Uso | The Last: Naruto the Movie | Okiraku Ryoushu no Tanoshii Ryouchi Bouei: Seisankei Majutsu de Na mo Naki Mura wo Saikyou no Jousai Toshi ni | Tenchi Souzou Design-bu | Juuni Taisen | Dr. Stone: Stone Wars - Kaisen Zenya Special Eizou | Uma Musume: Pretty Derby Season 2",both_hit
2056716,23277,20|27|30|32|44|45|46|48|59|71|72|73|74|75|101|117|150|161|164|165,617,Veteran,1,15,1,16,87,1,1,1,2,level_tuned_product_hybrid,4177|23277|182|9941|28625|11783|4038|12053|6098|4618|3089|37926,101,Saenai Heroine no Sodatekata,"Naruto | Trinity Blood | Shinseiki Evangelion | Shinseiki Evangelion Movie: Air/Magokoro wo, Kimi ni | Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen | Rurouni Kenshin: Meiji Kenkaku Romantan | Rurouni Kenshin: Meiji Kenkaku Romantan - Ishinshishi e no Chinkonka | .hack//Sign",Bounen no Xamdou | Saenai Heroine no Sodatekata | Tenkuu no Escaflowne | Tiger & Bunny | Shisha no Teikoku | Dog Days' | Zettai Karen Children | Mardock Scramble: The Third Exhaust | Sora no Manimani | RideBack | The Sky Crawlers | Nakanohito Genome [Jikkyouchuu],both_hit
2119555,19,199|302|431|512|1535|1689|2236|5065|13601|16498|18397|20583|30276|31964|32281|32935|32995|33486|34599|34636,39,Beginner,4,1,3,29,66,22,4,4,4,level_tuned_product_hybrid,48561|9919|52742|19|51553|35507|35848|10162|2154|35843|10721|10798,101,Monster,Sen to Chihiro no Kamikakushi | Mirai Shounen Conan | Howl no Ugoku Shiro | Majo no Takkyuubin | Death Note | Byousoku 5 Centimeter | Toki wo Kakeru Shoujo | Detroit Metal City: Birth of the Metal Devil,Jujutsu Kaisen 0 Movie | Ao no Exorcist | Haikyuu!! Movie: Gomisuteba no Kessen | Monster | Tongari Boushi no Atelier | Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e | Promare | Usagi Drop | Tekkon Kinkreet | Gintama. Porori-hen | Mawaru Penguindrum | Un-Go,both_hit
