raw_rank,mal_id,title,type,score,mylist_hybrid_score,guardrail_action,guardrail_reason,known_status,known_score
26,37141,Hataraku Saibou,TV,7.55,0.47386524081230164,kept,,,
27,36946,Dragon Ball Super: Broly,Movie,8.21,0.4691171646118164,kept,,,
28,32983,Natsume Yuujinchou Go,TV,8.56,0.46758168935775757,blocked,missing prerequisite 11665,,
29,16664,Kaguya-hime no Monogatari,Movie,8.22,0.4649513363838196,kept,,,
30,36949,Shokugeki no Souma: San no Sara - Tootsuki Ressha-hen,TV,7.92,0.46486029028892517,blocked,prerequisite is only plan-to-watch 35788,,
31,16904,K: Missing Kings,Movie,7.62,0.4644719064235687,blocked,missing prerequisite 14467,,
32,15039,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai. Movie,Movie,7.83,0.45868709683418274,kept,,,
33,39741,Violet Evergarden Gaiden: Eien to Jidou Shuki Ningyou,Movie,8.42,0.45784613490104675,kept,,,
34,32093,Tanaka-kun wa Itsumo Kedaruge,TV,7.8,0.45604828000068665,kept,,,
35,962,Aria the Natural,TV,8.17,0.4518353343009949,blocked,prerequisite is only plan-to-watch 477,,
36,3297,Aria the Origination,TV,8.48,0.45183390378952026,blocked,missing prerequisite 2563,,
37,36475,Sword Art Online Alternative: Gun Gale Online,TV,7.01,0.44687730073928833,kept,,,
38,4472,Lucky☆Star: Original na Visual to Animation,OVA,7.8,0.44649380445480347,kept,,,
39,14749,Ore no Kanojo to Osananajimi ga Shuraba Sugiru,TV,6.88,0.4461151659488678,kept,,,
40,35968,Wotaku ni Koi wa Muzukashii,TV,7.91,0.4453650712966919,kept,,,
41,30544,Gakusen Toshi Asterisk,TV,6.8,0.4451226592063904,kept,,,
42,22145,Kuroshitsuji: Book of Circus,TV,8.06,0.4446260929107666,blocked,missing prerequisite 4898,,
43,34591,Natsume Yuujinchou Roku,TV,8.61,0.4416216313838959,blocked,missing prerequisite 32983,,
44,12115,Berserk: Ougon Jidai-hen III - Kourin,Movie,8.21,0.4391588568687439,blocked,missing prerequisite 12113,,
45,32998,91 Days,TV,7.82,0.4386785328388214,kept,,,
46,11743,Toaru Majutsu no Index Movie: Endymion no Kiseki,Movie,7.4,0.438344806432724,blocked,missing prerequisite 8937,,
47,16762,Mirai Nikki: Redial,OVA,7.28,0.43631696701049805,blocked,prerequisite is only plan-to-watch 10620 | side/special content without liked parent,,
48,20031,D-Frag!,TV,7.49,0.4354575574398041,kept,,,
49,10800,Chihayafuru,TV,8.17,0.4349697530269623,kept,,,
50,31737,Gakusen Toshi Asterisk 2nd Season,TV,6.98,0.43404290080070496,blocked,missing prerequisite 30544,,
51,14467,K,TV,7.41,0.4336232542991638,kept,,,
52,23317,Kuroshitsuji: Book of Murder,OVA,8.04,0.4326653480529785,blocked,missing prerequisite 22145 | side/special content without liked parent,,
53,35860,Karakai Jouzu no Takagi-san,TV,7.67,0.43238556385040283,kept,,,
54,8516,Baka to Test to Shoukanjuu Ni!,TV,7.66,0.4310779571533203,blocked,missing prerequisite 9471,,
55,597,Neko no Ongaeshi,Movie,7.72,0.43031853437423706,blocked,missing prerequisite 585,,
56,14397,Chihayafuru 2,TV,8.37,0.4298173189163208,blocked,missing prerequisite 10800,,
57,31478,Bungou Stray Dogs,TV,7.8,0.4297827482223511,kept,,,
58,12477,Sakasama no Patema,Movie,7.93,0.42958390712738037,kept,,,
59,38555,Otome Game no Hametsu Flag shika Nai Akuyaku Reijou ni Tensei shiteshimatta...,TV,7.44,0.4288901388645172,kept,,,
60,4565,Tengen Toppa Gurren Lagann Movie 2: Lagann-hen,Movie,8.61,0.42879411578178406,blocked,missing prerequisite 4107,,
61,25879,Working!!!,TV,7.94,0.42875906825065613,blocked,missing prerequisite 10521,,
62,1379,Kino no Tabi: The Beautiful World - Nanika wo Suru Tame ni - Life Goes On.,Movie,7.73,0.4280891716480255,kept,,,
63,20651,Natsume Yuujinchou: Itsuka Yuki no Hi ni,OVA,8.32,0.4278297424316406,kept,,,
64,6347,Baka to Test to Shoukanjuu,TV,7.5,0.42712417244911194,kept,,,
65,41389,Tonikaku Kawaii,TV,7.84,0.4257284104824066,kept,,,
66,38003,Bungou Stray Dogs 3rd Season,TV,8.19,0.4244004487991333,blocked,missing prerequisite 32867,,
67,1735,Naruto: Shippuuden,TV,8.29,0.4240347146987915,blocked,missing prerequisite 20,,
68,34480,Shokugeki no Souma: Ni no Sara OVA,OVA,7.44,0.4229472875595093,kept,,,
69,11701,Another: The Other - Inga,OVA,7.25,0.4227062165737152,blocked,side/special content without liked parent,,
70,12113,Berserk: Ougon Jidai-hen II - Doldrey Kouryaku,Movie,7.87,0.4224955141544342,blocked,missing prerequisite 10218,,
71,39792,Eizouken ni wa Te wo Dasu na!,TV,8.13,0.4223851263523102,kept,,,
72,263,Hajime no Ippo,TV,8.78,0.420209139585495,kept,,,
73,34451,Kekkai Sensen & Beyond,TV,7.77,0.4199150800704956,kept,,,
74,31722,Nanatsu no Taizai: Seisen no Shirushi,TV,6.94,0.4185488224029541,blocked,missing prerequisite 23755,,
75,40221,Kami no Tou,TV,7.55,0.4181209206581116,kept,,,
76,4106,Trigun: Badlands Rumble,Movie,7.9,0.4179500937461853,kept,,,
77,40540,Sword Art Online: Alicization - War of Underworld 2nd Season,TV,7.51,0.41743919253349304,blocked,missing prerequisite 39597,,
78,1827,Seirei no Moribito,TV,8.12,0.4172273576259613,kept,,,
79,6114,Rainbow: Nisha Rokubou no Shichinin,TV,8.46,0.41721993684768677,kept,,,
80,1430,Lupin III: Cagliostro no Shiro,Movie,8.15,0.41705870628356934,blocked,missing prerequisite 1412,,
81,10218,Berserk: Ougon Jidai-hen I - Haou no Tamago,Movie,7.71,0.4162861108779907,kept,,,
82,4214,Rosario to Vampire Capu2,TV,6.88,0.415621817111969,blocked,low-rated prerequisite 2993:5,,
83,10711,Plastic Neesan,ONA,7.19,0.41505369544029236,kept,,,
84,9790,Sora no Otoshimono: Tokeijikake no Angeloid,Movie,7.53,0.4150102734565735,blocked,prerequisite is only plan-to-watch 8407,,
85,10521,Working'!!,TV,7.81,0.41497552394866943,blocked,missing prerequisite 6956,,
86,5040,One Outs,TV,8.32,0.4143865406513214,kept,,,
87,6811,InuYasha: Kanketsu-hen,TV,8.2,0.4134693145751953,blocked,prerequisite is only plan-to-watch 249,,
88,27991,K: Return of Kings,TV,7.54,0.4122668504714966,blocked,missing prerequisite 16904,,
89,6033,Dragon Ball Kai,TV,7.79,0.41224271059036255,kept,,,
90,37614,Hitoribocchi no Marumaru Seikatsu,TV,7.47,0.41206416487693787,kept,,,
91,40716,Kakushigoto,TV,7.96,0.4119068384170532,kept,,,
92,34277,"New Game! Watashi, Shain Ryokou tte Hajimete nanode...",OVA,7.4,0.41100117564201355,kept,,,
93,2175,Kino no Tabi: The Beautiful World - Byouki no Kuni - For You,Movie,7.66,0.4106556177139282,blocked,missing prerequisite 1379 | prerequisite is only plan-to-watch 486,,
94,35240,Princess Principal,TV,7.67,0.4105357229709625,kept,,,
95,32686,Keijo!!!!!!!!,TV,6.9,0.4099580645561218,kept,,,
96,9289,Hanasaku Iroha,TV,7.89,0.40916708111763,kept,,,
97,31859,Hai to Gensou no Grimgar,TV,7.66,0.4090961217880249,kept,,,
98,8857,Nichijou: Nichijou no 0-wa,OVA,7.41,0.4082767963409424,blocked,side/special content without liked parent,,
99,2563,Aria the OVA: Arietta,OVA,7.99,0.40667030215263367,blocked,missing prerequisite 962 | side/special content without liked parent,,
100,30347,Nanatsu no Taizai OVA,OVA,7.48,0.40647923946380615,blocked,missing prerequisite 23755 | side/special content without liked parent,,
101,21511,Kantai Collection: KanColle,TV,6.82,0.406421959400177,kept,,,
102,38759,Sewayaki Kitsune no Senko-san,TV,7.31,0.40614622831344604,kept,,,
103,6956,Working!!,TV,7.64,0.40564632415771484,kept,,,
104,15227,Kono Sekai no Katasumi ni,Movie,8.23,0.4049302339553833,kept,,,
105,28069,Shigatsu wa Kimi no Uso: Moments,OVA,7.69,0.4045209288597107,blocked,side/special content without liked parent,,
106,38680,Fruits Basket 1st Season,TV,8.2,0.40435075759887695,kept,,,
107,40571,Majo no Tabitabi,TV,7.56,0.4041338860988617,kept,,,
108,1482,D.Gray-man,TV,8.0,0.4036080837249756,kept,,,
109,72,Full Metal Panic? Fumoffu,TV,8.02,0.3996766209602356,blocked,missing prerequisite 73 | prerequisite is only plan-to-watch 71,,
110,9471,Baka to Test to Shoukanjuu: Matsuri,OVA,7.55,0.39890724420547485,blocked,missing prerequisite 6347 | side/special content without liked parent,,
111,38993,Karakai Jouzu no Takagi-san 2,TV,8.01,0.3983404338359833,blocked,missing prerequisite 35860,,
112,40004,Bokutachi wa Benkyou ga Dekinai!,TV,7.33,0.39807742834091187,blocked,prerequisite is only plan-to-watch 38186,,
113,39565,Boku no Hero Academia the Movie 2: Heroes:Rising,Movie,7.93,0.397874653339386,blocked,missing prerequisite 38408,,
114,6802,So Ra No Wo To,TV,7.54,0.3978675603866577,kept,,,
115,16353,Love Lab,TV,7.3,0.39774733781814575,kept,,,
116,4107,Tengen Toppa Gurren Lagann Movie 1: Gurren-hen,Movie,8.18,0.39743322134017944,kept,,,
117,31404,Netoge no Yome wa Onnanoko ja Nai to Omotta?,TV,6.66,0.396952360868454,kept,,,
118,3167,Eve no Jikan,ONA,7.98,0.39608874917030334,kept,,,
119,32547,Non Non Biyori Repeat: Hotaru ga Tanoshinda,OVA,7.86,0.39581185579299927,kept,,,
120,25519,Yuuki Yuuna wa Yuusha de Aru,TV,7.37,0.39479464292526245,blocked,missing prerequisite 34284,,
121,34881,Aho Girl,TV,6.71,0.3945135176181793,kept,,,
122,528,Pokemon Movie 01: Mewtwo no Gyakushuu,Movie,7.67,0.39428016543388367,blocked,low-rated prerequisite 527:6,,
123,38668,Dorohedoro,TV,8.05,0.39412856101989746,kept,,,
124,7858,Sora no Otoshimono: Project Pink,OVA,7.34,0.3940178453922272,blocked,prerequisite is only plan-to-watch 5958 | side/special content without liked parent,,
125,9047,Toaru Kagaku no Railgun: Misaka-san wa Ima Chuumoku no Mato desu kara,OVA,7.44,0.3932684361934662,kept,,,
126,16870,The Last: Naruto the Movie,Movie,7.8,0.3929263949394226,blocked,missing prerequisite 1735,,
127,32887,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka Gaiden: Sword Oratoria,TV,7.09,0.3927449882030487,kept,,,
128,534,Slayers,TV,7.72,0.3925364017486572,blocked,"missing prerequisite 536,1170,867",,
129,8142,Colorful (Movie),Movie,7.74,0.392069548368454,kept,,,
130,2787,Shakugan no Shana II (Second),TV,7.54,0.39203691482543945,blocked,prerequisite is only plan-to-watch 355,,
131,400,Seihou Bukyou Outlaw Star,TV,7.83,0.3912355899810791,kept,,,
132,19021,Takanashi Rikka Kai: Chuunibyou demo Koi ga Shitai! Movie,Movie,7.4,0.39107945561408997,blocked,summary/recap of known title 14741,,
133,1004,Kanojo to Kanojo no Neko,OVA,7.24,0.39076873660087585,blocked,side/special content without liked parent,,
134,39940,Shokugeki no Souma: Shin no Sara,TV,7.73,0.3906443119049072,blocked,missing prerequisite 36949,,
135,21843,Shingeki no Bahamut: Genesis,TV,7.61,0.39012885093688965,kept,,,
136,16444,Mondaiji-tachi ga Isekai kara Kuru Sou desu yo?: Onsen Manyuuki,OVA,7.17,0.3901112377643585,blocked,missing prerequisite 15315 | side/special content without liked parent,,
137,20159,Pokemon: The Origin,TV Special,7.74,0.38983622193336487,blocked,side/special content without liked parent,,
138,433,"Kumo no Mukou, Yakusoku no Basho",Movie,7.41,0.3893585801124573,kept,,,
139,20021,Sword Art Online: Extra Edition,Special,6.55,0.3893059492111206,blocked,low-rated prerequisite 11757:5 | side/special content without liked parent,,
140,36038,Net-juu no Susume,TV,7.51,0.3887293338775635,kept,,,
141,5277,Sekirei: Pure Engagement,TV,7.25,0.38859260082244873,blocked,prerequisite is only plan-to-watch 4063,,
142,28755,Boruto: Naruto the Movie,Movie,7.37,0.3885003328323364,blocked,missing prerequisite 1735,,
143,25015,Kyoukai no Kanata Movie 1: I'll Be Here - Kako-hen,Movie,7.72,0.3884992003440857,blocked,summary/recap of known title 18153,,
144,5177,Denpa-teki na Kanojo,OVA,7.47,0.38841092586517334,blocked,side/special content without liked parent,,
145,65,Rozen Maiden: Träumend,TV,7.61,0.38790470361709595,blocked,prerequisite is only plan-to-watch 64,,
146,19703,Kyousou Giga (TV),TV,7.69,0.3878546953201294,kept,,,
147,11319,Zero no Tsukaima F,TV,7.41,0.38591545820236206,blocked,missing prerequisite 3712,,
148,14175,Hanasaku Iroha Movie: Home Sweet Home,Movie,7.84,0.3850553333759308,blocked,missing prerequisite 9289,,
149,34280,Gamers!,TV,6.72,0.38502395153045654,kept,,,
150,2164,Dennou Coil,TV,8.02,0.3847857415676117,kept,,,
151,34944,Bungou Stray Dogs: Dead Apple,Movie,7.91,0.3838835656642914,blocked,missing prerequisite 32867,,
152,39468,Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen,TV,7.96,0.383807510137558,kept,,,
153,793,xxxHOLiC Movie: Manatsu no Yoru no Yume,Movie,7.92,0.38312703371047974,kept,,,
154,6707,Kuroshitsuji II,TV,7.12,0.3826734125614166,blocked,missing prerequisite 4898,,
155,20939,"Ore no Nounai Sentakushi ga, Gakuen Love Comedy wo Zenryoku de Jama Shiteiru OVA",OVA,7.13,0.38258564472198486,blocked,prerequisite is only plan-to-watch 19221 | side/special content without liked parent,,
156,33926,Quanzhi Gaoshou,ONA,7.85,0.38213270902633667,blocked,missing prerequisite 40080,,
157,40839,"Kanojo, Okarishimasu",TV,6.83,0.3819827735424042,kept,,,
158,34933,Kakegurui,TV,7.21,0.3819010257720947,kept,,,
159,4725,Ga-Rei: Zero,TV,7.56,0.3814460337162018,kept,,,
160,522,Metropolis,Movie,7.53,0.38136136531829834,kept,,,
161,317,Final Fantasy VII: Advent Children,Movie,7.71,0.3812817335128784,blocked,missing prerequisite 408,,
162,267,Gungrave,TV,7.82,0.3812686502933502,kept,,,
163,31952,Kono Bijutsu-bu ni wa Mondai ga Aru!,TV,7.16,0.3812525272369385,kept,,,
164,31812,Kuroshitsuji Movie: Book of the Atlantic,Movie,8.25,0.381227970123291,blocked,missing prerequisite 23317,,
165,32491,Kanojo to Kanojo no Neko: Everything Flows,TV,7.66,0.3812243938446045,kept,,,
166,35376,Himouto! Umaru-chan R,TV,7.32,0.3811590373516083,blocked,low-rated prerequisite 28825:5,,
167,15197,Code Geass: Boukoku no Akito 2 - Hikisakareshi Yokuryuu,Movie,7.43,0.3809589147567749,blocked,missing prerequisite 8888,,
168,2154,Tekkon Kinkreet,Movie,7.94,0.3801114559173584,kept,,,
169,33071,Bungou Stray Dogs: Hitori Ayumu,OVA,7.66,0.38010627031326294,blocked,missing prerequisite 32867 | side/special content without liked parent,,
170,36028,Golden Kamuy,TV,7.89,0.38004061579704285,kept,,,
171,6773,Shakugan no Shana III (Final),TV,7.5,0.3796105980873108,blocked,missing prerequisite 6572,,
172,19369,Outbreak Company,TV,7.15,0.3790997266769409,kept,,,
173,31173,Akagami no Shirayuki-hime 2nd Season,TV,7.97,0.3787754774093628,blocked,prerequisite is only plan-to-watch 30123,,
174,23383,D-Frag!*,OVA,7.31,0.3785604238510132,blocked,missing prerequisite 20031 | side/special content without liked parent,,
175,37475,Kishuku Gakkou no Juliet,TV,7.45,0.3785296380519867,kept,,,
176,30458,"Tokyo Ghoul: ""Jack""",OVA,7.29,0.37845462560653687,blocked,low-rated prerequisite 22319:5 | side/special content without liked parent,,
177,32553,Nisekoi: OVA,OVA,7.06,0.37689611315727234,blocked,missing prerequisite 27787 | side/special content without liked parent,,
178,996,Bishoujo Senshi Sailor Moon: Sailor Stars,TV,7.96,0.3766949474811554,blocked,missing prerequisite 1239,,
179,8557,Shinryaku! Ika Musume,TV,7.41,0.37662720680236816,kept,,,
180,11737,Ao no Exorcist Movie,Movie,7.57,0.3763730823993683,kept,,,
181,73,Full Metal Panic! The Second Raid,TV,7.91,0.37537410855293274,blocked,prerequisite is only plan-to-watch 71,,
182,8888,Code Geass: Boukoku no Akito 1 - Yokuryuu wa Maiorita,Movie,7.32,0.3751397728919983,kept,,,
183,5530,Pandora Hearts,TV,7.64,0.3750293552875519,kept,,,
184,25099,"Ore ga Ojousama Gakkou ni ""Shomin Sample"" Toshite Gets♥Sareta Ken",TV,6.65,0.3749195635318756,kept,,,
185,25313,Gintama': Futon ni Haitte kara Buki Nokoshi ni Kizuite Neru ni Nerenai Toki mo Aru,Special,8.12,0.37486815452575684,kept,,,
186,40052,Great Pretender,TV,8.19,0.374584823846817,kept,,,
187,5258,Hajime no Ippo: New Challenger,TV,8.67,0.37423059344291687,blocked,missing prerequisite 265,,
188,16157,Choujigen Game Neptune The Animation,TV,6.89,0.3738144636154175,kept,,,
189,37989,Golden Kamuy 2nd Season,TV,8.24,0.37196046113967896,blocked,missing prerequisite 36028,,
190,5060,Hetalia Axis Powers,ONA,7.25,0.371623694896698,kept,,,
191,401,Rurouni Kenshin: Meiji Kenkaku Romantan - Seisou-hen,OVA,7.96,0.37146663665771484,kept,,,
192,2994,Death Note: Rewrite,TV Special,7.73,0.3714258372783661,blocked,summary/recap of known title 1535 | side/special content without liked parent,,
193,31297,"Tokyo Ghoul: ""Pinto""",OVA,7.2,0.3710765242576599,blocked,low-rated prerequisite 22319:5 | side/special content without liked parent,,
194,1239,Bishoujo Senshi Sailor Moon SuperS,TV,7.64,0.3708381950855255,kept,,,
195,16774,Inferno Cop,ONA,7.21,0.3695865273475647,kept,,,
196,33028,Danganronpa 3: The End of Kibougamine Gakuen - Zetsubou-hen,TV,7.34,0.3693547546863556,blocked,low-rated prerequisite 16592:6,,
197,4672,Koukaku Kidoutai 2.0,Movie,7.96,0.3683065176010132,kept,,,
198,770,Pale Cocoon,OVA,7.25,0.36818766593933105,blocked,side/special content without liked parent,,
199,28497,Rokka no Yuusha,TV,7.25,0.36803901195526123,kept,,,
200,19647,Hajime no Ippo: Rising,TV,8.61,0.367764413356781,blocked,missing prerequisite 5258,,
